Cloning into '/home/user/SBOM/work/megaease__easegress'...
go: downloading go1.26.1 (linux/amd64)
go: downloading github.com/spf13/cobra v1.7.0
go: downloading golang.org/x/mod v0.32.0
go: downloading github.com/dave/jennifer v1.7.1
go: downloading k8s.io/apimachinery v0.28.15
go: downloading github.com/nginxinc/nginx-go-crossplane v0.4.86
go: downloading github.com/phayes/freeport v0.0.0-20220201140144-74d24b5ae9f5
go: downloading go.etcd.io/etcd/api/v3 v3.5.27
go: downloading github.com/xeipuuv/gojsonschema v1.2.1-0.20201027075954-b076d39a02e5
go: downloading github.com/fsnotify/fsnotify v1.9.0
go: downloading go.etcd.io/etcd/client/v3 v3.5.27
go: downloading github.com/go-chi/chi/v5 v5.0.14
go: downloading go.etcd.io/etcd/server/v3 v3.5.27
go: downloading github.com/go-chi/cors v1.2.2
go: downloading github.com/prometheus/client_golang v1.17.0
go: downloading github.com/go-task/slim-sprig v2.20.0+incompatible
go: downloading github.com/rs/cors v1.11.1
go: downloading github.com/Shopify/sarama v1.38.1
go: downloading github.com/MicahParks/keyfunc v1.9.0
go: downloading github.com/hashicorp/golang-lru/v2 v2.0.7
go: downloading github.com/open-policy-agent/opa v0.58.0
go: downloading github.com/eclipse/paho.mqtt.golang v1.4.3
go: downloading github.com/golang-jwt/jwt/v4 v4.5.2
go: downloading github.com/golang-jwt/jwt v3.2.2+incompatible
go: downloading golang.org/x/exp v0.0.0-20231006140011-7918f672742d
go: downloading google.golang.org/grpc v1.78.0
go: downloading github.com/buraksezer/consistent v0.10.0
go: downloading github.com/tcnksm/go-httpstat v0.2.1-0.20191008022543-e866bb274419
go: downloading nhooyr.io/websocket v1.8.17
go: downloading sigs.k8s.io/gateway-api v1.0.0
go: downloading github.com/megaease/grace v1.0.0
go: downloading github.com/go-logr/zapr v1.2.4
go: downloading github.com/jtblin/go-ldap-client v0.0.0-20170223121919-b73f66626b33
go: downloading github.com/openzipkin/zipkin-go v0.4.3
go: downloading github.com/tg123/go-htpasswd v1.2.4
go: downloading github.com/sashabaranov/go-openai v1.40.5
go: downloading go.opentelemetry.io/otel v1.40.0
go: downloading golang.org/x/crypto v0.48.0
go: downloading github.com/jackc/pgx/v5 v5.7.6
go: downloading github.com/qdrant/go-client v1.17.1
go: downloading github.com/redis/rueidis v1.0.72
go: downloading github.com/pgvector/pgvector-go v0.3.0
go: downloading github.com/hashicorp/consul/api v1.26.1
go: downloading github.com/ArthurHlt/go-eureka-client v1.1.0
go: downloading k8s.io/api v0.28.15
go: downloading github.com/libdns/alidns v1.0.3
go: downloading knative.dev/client v0.39.0
go: downloading github.com/libdns/azure v0.3.0
go: downloading github.com/libdns/cloudflare v0.1.1
go: downloading knative.dev/serving v0.39.0
go: downloading github.com/libdns/digitalocean v0.0.0-20230728223659-4f9064657aea
go: downloading k8s.io/client-go v0.28.15
go: downloading github.com/libdns/dnspod v0.0.3
go: downloading github.com/libdns/duckdns v0.2.0
go: downloading github.com/quic-go/quic-go v0.40.1
go: downloading github.com/libdns/hetzner v0.0.1
go: downloading github.com/libdns/libdns v0.2.2
go: downloading github.com/libdns/route53 v1.3.3
go: downloading github.com/libdns/vultr v1.0.0
go: downloading github.com/easegress-io/easemesh-api v1.5.1
go: downloading golang.org/x/net v0.50.0
