github.com/dotchain/dot
github.com/etcd-io/bbolt v1.3.2
github.com/google/go-cmp v0.2.0
github.com/lib/pq v1.1.0
github.com/sergi/go-diff v1.0.0
github.com/shurcooL/sanitized_anchor_name v1.0.0
github.com/tvastar/test v0.0.0-20190408215541-5e6ef1905826
github.com/tvastar/toc v0.0.0-20190328211025-65f5d4ff75b4
golang.org/x/crypto v0.0.0-20190308221718-c2843e01d9a2
golang.org/x/net v0.0.0-20190311183353-d8887717615a
golang.org/x/sys v0.0.0-20190215142949-d0b11bdaac8a
golang.org/x/text v0.3.0
golang.org/x/tools v0.0.0-20190420181800-aa740d480789
gopkg.in/russross/blackfriday.v2 v2.0.0-00010101000000-000000000000 => github.com/russross/blackfriday v2.0.0+incompatible
