github.com/davecgh/go-spew	v1.1.1
github.com/golangci/golangci-lint	v1.31.0
github.com/golangci/revgrep	v0.0.0-20180812185044-276a5c0a1039
github.com/kr/text	v0.2.0
github.com/niemeyer/pretty	v0.0.0-20200227124842-a10e7caefd8e
github.com/pelletier/go-toml	v1.3.0
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/sirupsen/logrus	v1.6.0
github.com/spf13/afero	v1.2.2
github.com/spf13/jwalterweatherman	v1.1.0
github.com/stretchr/testify	v1.6.1
golang.org/x/sys	v0.0.0-20200602225109-6fdc65e7d980
golang.org/x/tools	v0.0.0-20200812195022-5ae4c3c160a0
gopkg.in/check.v1	v1.0.0-20200227125254-8fa46927fb4f
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
