atomicgo.dev/assert	v0.0.2
atomicgo.dev/cursor	v0.1.1
atomicgo.dev/keyboard	v0.2.8
github.com/containerd/console	v1.0.3
github.com/davecgh/go-spew	v1.1.1
github.com/gookit/color	v1.5.2
github.com/klauspost/cpuid/v2	v2.2.3
github.com/lithammer/fuzzysearch	v1.1.5
github.com/mattn/go-runewidth	v0.0.14
github.com/pterm/pterm	v0.12.53
github.com/rivo/uniseg	v0.2.0
github.com/sergi/go-diff	v1.2.0
github.com/xo/terminfo	v0.0.0-20210125001918-ca9a967f8778
golang.org/x/sys	v0.0.0-20220722155257-8c9f86f7a55f
golang.org/x/term	v0.0.0-20210927222741-03fcf44c2211
golang.org/x/text	v0.6.0
