github.com/quic-go/quic-go
github.com/creack/pty v1.1.9
github.com/davecgh/go-spew v1.1.1
github.com/google/go-cmp v0.6.0
github.com/jordanlewis/gcassert v0.0.0-20250430164644-389ef753e22e
github.com/kr/pretty v0.3.1
github.com/kr/pty v1.1.1
github.com/kr/text v0.2.0
github.com/pkg/diff v0.0.0-20210226163009-20ebb0f2a09e
github.com/pmezard/go-difflib v1.0.0
github.com/quic-go/go-ossfuzz-seeds v0.1.0
github.com/quic-go/qpack v0.6.0
github.com/rogpeppe/go-internal v1.10.0
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.11.1
github.com/yuin/goldmark v1.4.13
go.uber.org/mock v0.5.2
golang.org/x/crypto v0.51.0
golang.org/x/mod v0.35.0
golang.org/x/net v0.55.0
golang.org/x/sync v0.20.0
golang.org/x/sys v0.45.0
golang.org/x/telemetry v0.0.0-20260409153401-be6f6cb8b1fa
golang.org/x/term v0.43.0
golang.org/x/text v0.37.0
golang.org/x/tools v0.44.0
golang.org/x/xerrors v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1 v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3 v3.0.1
