github.com/mk-5/fjira
github.com/bep/debounce v1.2.1
github.com/cpuguy83/go-md2man/v2 v2.0.6
github.com/davecgh/go-spew v1.1.1
github.com/fatih/color v1.19.0
github.com/gdamore/encoding v1.0.1
github.com/gdamore/tcell/v2 v2.13.8
github.com/google/go-cmp v0.6.0
github.com/google/go-querystring v1.2.0
github.com/inconshreveable/mousetrap v1.1.0
github.com/kylelemons/godebug v1.1.0
github.com/lucasb-eyer/go-colorful v1.4.0
github.com/mattn/go-colorable v0.1.14
github.com/mattn/go-isatty v0.0.20
github.com/mattn/go-runewidth v0.0.15
github.com/mattn/go-sixel v0.0.5
github.com/pmezard/go-difflib v1.0.0
github.com/rivo/uniseg v0.4.7
github.com/russross/blackfriday/v2 v2.1.0
github.com/sahilm/fuzzy v0.1.1
github.com/soniakeys/quant v1.0.0
github.com/spf13/cobra v1.10.2
github.com/spf13/pflag v1.0.10
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.11.1
github.com/yuin/goldmark v1.4.13
go.yaml.in/yaml/v3 v3.0.4
golang.org/x/crypto v0.0.0-20210921155107-089bfa567519
golang.org/x/mod v0.33.0
golang.org/x/net v0.6.0
golang.org/x/sync v0.20.0
golang.org/x/sys v0.42.0
golang.org/x/term v0.41.0
golang.org/x/text v0.35.0
golang.org/x/tools v0.42.0
golang.org/x/xerrors v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3 v3.0.1
