github.com/ProtonMail/go-crypto	v0.0.0-20210428141323-04723f9f07d7
github.com/alexflint/go-arg	v1.4.2
github.com/alexflint/go-scalar	v1.0.0
github.com/anmitsu/go-shlex	v0.0.0-20161002113705-648efa622239
github.com/armon/go-socks5	v0.0.0-20160902184237-e75332964ef5
github.com/davecgh/go-spew	v1.1.1
github.com/emirpasic/gods	v1.12.0
github.com/gliderlabs/ssh	v0.2.2
github.com/go-git/gcfg	v1.5.0
github.com/go-git/go-billy/v5	v5.3.1
github.com/go-git/go-git-fixtures/v4	v4.2.1
github.com/go-git/go-git/v5	v5.4.2
github.com/google/go-cmp	v0.5.5
github.com/imdario/mergo	v0.3.12
github.com/jbenet/go-context	v0.0.0-20150711004518-d14ea06fba99
github.com/kevinburke/ssh_config	v0.0.0-20201106050909-4977a11b4351
github.com/kr/pretty	v0.2.1
github.com/kr/text	v0.2.0
github.com/mattn/go-runewidth	v0.0.13
github.com/mitchellh/go-homedir	v1.1.0
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rivo/uniseg	v0.2.0
github.com/sergi/go-diff	v1.1.0
github.com/stretchr/testify	v1.7.0
github.com/whilp/git-urls	v1.0.0
github.com/xanzy/ssh-agent	v0.3.0
golang.org/x/crypto	v0.0.0-20210421170649-83a5a9bb288b
golang.org/x/net	v0.0.0-20210326060303-6b1517762897
golang.org/x/sys	v0.0.0-20210502180810-71e4cd670f79
golang.org/x/term	v0.0.0-20201126162022-7de9c90e9dd1
golang.org/x/text	v0.3.3
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/warnings.v0	v0.1.2
gopkg.in/yaml.v2	v2.3.0
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
