repo,url,sha,go_version,n_imp,n_impT,n_all,stratum
3d0c__gmf,https://github.com/3d0c/gmf,be727bc5b56cc2ab61e39d2a16c0e5ed0d00b82e,1.12,0,4,7,impT_nonempty
AsaiYusuke__jsonpath,https://github.com/AsaiYusuke/jsonpath,ceeef42de954c85ddc12aa4c645724ce3a3bf816,1.25,0,0,2,impT_empty
Eyevinn__hls-m3u8,https://github.com/Eyevinn/hls-m3u8,ac8a22d118784fceacc8b0f98c0266c69635707e,1.21,0,1,2,impT_nonempty
Eyevinn__mp4ff,https://github.com/Eyevinn/mp4ff,8c9f99a4143239827775e16a99cb89137882cec1,1.19,0,1,2,impT_nonempty
Fs02__wire,https://github.com/Fs02/wire,bf9e390791441152685607c853cedbdd0a771ea9,,0,3,4,impT_nonempty
HnH__di,https://github.com/HnH/di,5f0d384f471b73b071fbbcdc379615ca46795906,1.18,0,4,7,impT_nonempty
Kachit__dusupay-sdk-go,https://github.com/Kachit/dusupay-sdk-go,63985b8d5d89bc174ec47510fe9baaf4c1ad67a2,1.14,0,5,8,impT_nonempty
Kachit__fasapay-sdk-go,https://github.com/Kachit/fasapay-sdk-go,c2e0c18b1db3410fcffd6801fdb5c690ffee37c4,1.14,0,5,8,impT_nonempty
Konstantin8105__f4go,https://github.com/Konstantin8105/f4go,568775fd7b9b26ab28e653c9ccc8cc2fb7e1548c,1.13,0,3,4,impT_nonempty
OrlovEvgeny__go-mcache,https://github.com/OrlovEvgeny/go-mcache,e9fc1cfea5b3ca030571bda219fe29af7c5a6254,1.26.2,0,18,26,impT_nonempty
PhakornKiong__go-pattern-match,https://github.com/PhakornKiong/go-pattern-match,d4ff06facf3fbf8bdb6e83cae402154e5a29fbb9,1.20,0,4,7,impT_nonempty
SchwarzIT__hypermatch,https://github.com/SchwarzIT/hypermatch,3c39ef9c910a8f791f40110293710b38b94a906e,1.21.0,0,2,6,impT_nonempty
SimonBaeumer__cmd,https://github.com/SimonBaeumer/cmd,04f01f616eca1b93c1b56fe97cfc97a5f348ce04,1.21,0,4,7,impT_nonempty
SimonWaldherr__golang-benchmarks,https://github.com/SimonWaldherr/golang-benchmarks,a6f34af4b41ed3ecc30f877cce64b944561dc8cc,1.26.5,0,19,48,impT_nonempty
SonicRoshan__scope,https://github.com/SonicRoshan/scope,9bbd38664a7fef52124aa1241900308d49dd9e64,1.16,0,4,7,impT_nonempty
StudioSol__set,https://github.com/StudioSol/set,e3903aa95b4aaa35922c0f874b12eaa514ddf3bb,1.18,0,4,7,impT_nonempty
TeaEntityLab__fpGo,https://github.com/TeaEntityLab/fpGo,1547e5ec4dbe70588e420117de1b9dcbbb3009bd,1.18,0,4,13,impT_nonempty
Wing924__hostutils,https://github.com/Wing924/hostutils,578e13e8b2003aa69a20de1f9c35dd036a75d109,1.20,0,3,4,impT_nonempty
abusomani__jsonhandlers,https://github.com/abusomani/jsonhandlers,a7f76c2cc9d4f7c1a8f348013550cba138b42eb6,1.20,0,4,7,impT_nonempty
adrg__xdg,https://github.com/adrg/xdg,b1241e93d6d49a821dada3ee2ecc09bc91f5e65c,1.25.0,0,4,8,impT_nonempty
adrianmo__go-nmea,https://github.com/adrianmo/go-nmea,fb5708f1f10c1909b79955a71e10025cae8b8511,1.14,0,4,7,impT_nonempty
adrianosela__multikey,https://github.com/adrianosela/multikey,f34358b3ba02f271f675322d3082ee9142db0633,1.20,0,4,7,impT_nonempty
aerogo__log,https://github.com/aerogo/log,9224037b5c825811e824ac19e21bc68af2d9f784,1.12,0,1,2,impT_nonempty
alecthomas__kong,https://github.com/alecthomas/kong,a5c96268805994e92822673b24553196694fdda1,1.20,0,3,4,impT_nonempty
amimof__huego,https://github.com/amimof/huego,b5d5385f8ad748d8b4ff5477df5a6a8a7212ea3e,1.13,0,6,13,impT_nonempty
andygeiss__esp32-transpiler,https://github.com/andygeiss/esp32-transpiler,2b2d7fc77042513c26eb9fc924ff877926e51700,1.25.4,0,1,10,impT_nonempty
andygrunwald__vdf,https://github.com/andygrunwald/vdf,b494c6cf6800fa2e5a073c876ac33e51e6083b39,1.25,0,4,7,impT_nonempty
antham__envh,https://github.com/antham/envh,dc96f9898b8a4666b34221ef31913e841c03aeba,1.18,0,6,9,impT_nonempty
appleboy__gofight,https://github.com/appleboy/gofight,638290c7faf4aea934e9025446f0258ad8b7f268,1.25.10,0,4,7,impT_nonempty
avast__retry-go,https://github.com/avast/retry-go,5bccbfa9340dfe6609f4ecfce30c971e2756c796,1.20,0,4,7,impT_nonempty
awalterschulze__gographviz,https://github.com/awalterschulze/gographviz,1aeb6b15b39e9f27f59787a7728e96477d794ce5,1.19,0,0,14,impT_empty
bitfield__qrand,https://github.com/bitfield/qrand,683c42648d34d3fa403db53f4455bb63aa653ddc,1.13,0,1,2,impT_nonempty
bobg__merkle,https://github.com/bobg/merkle,66b7aed2d6b260b517443ceee13cf7785f949b5b,1.20,0,2,6,impT_nonempty
brunomvsouza__ynab.go,https://github.com/brunomvsouza/ynab.go,4ea314ff91caf4e68445063acda252f6fd425775,1.19,0,5,8,impT_nonempty
cep21__circuit,https://github.com/cep21/circuit,df9fc6e22e7683d17ae5bacd49f3dd241540b90e,1.21,0,4,7,impT_nonempty
dakera-ai__dakera-go,https://github.com/dakera-ai/dakera-go,a618efbe259409867270bf280b3b0c5f1c157753,1.21,0,4,7,impT_nonempty
daviddengcn__go-colortext,https://github.com/daviddengcn/go-colortext,dc4cd66b56a892657c0bea8bf4389d35210ce0ee,1.14,0,1,4,impT_nonempty
ddelizia__channelify,https://github.com/ddelizia/channelify,cc70777578df74e9741612e25896d12ba72680e5,1.15,0,0,11,impT_empty
detectlanguage__detectlanguage-go,https://github.com/detectlanguage/detectlanguage-go,cea83d189ccc1f303c7a4bb62b784a55d643a083,1.13,0,4,7,impT_nonempty
didi__gendry,https://github.com/didi/gendry,e6d8f5cfe40e01ef4e2c883bc2b1bbd26123139c,1.13,0,5,8,impT_nonempty
diegomarangoni__typenv,https://github.com/diegomarangoni/typenv,76ad151dad0e5933e7d8217ff55ecb628e409429,1.18,0,4,7,impT_nonempty
dimuska139__go-email-normalizer,https://github.com/dimuska139/go-email-normalizer,b5e78c151ffa714430c71e3b6371640ac029620e,1.14,0,4,7,impT_nonempty
dirkaholic__kyoo,https://github.com/dirkaholic/kyoo,d787ad2ef1b604425b98bfa6c39db16c18f57766,1.20,0,4,8,impT_nonempty
dromara__carbon,https://github.com/dromara/carbon,3b7ed987dd6709ce117582e229fac6a2c6ccf971,1.18,0,4,7,impT_nonempty
elgohr__stop-and-go,https://github.com/elgohr/stop-and-go,4555d4a7f429c3814cca1ea80594a93e93fe7c36,1.18,0,4,7,impT_nonempty
elgris__sqrl,https://github.com/elgris/sqrl,7e0198b30236910d8ff87417dc1f242923e413c9,,0,3,4,impT_nonempty
giorgisio__goav,https://github.com/giorgisio/goav,ea60062d943c8cc809e674903997b3276fb91b13,,0,4,9,impT_nonempty
go-ozzo__ozzo-dbx,https://github.com/go-ozzo/ozzo-dbx,8a5a0983417e99c730fdaacc71125378d2d052ac,1.13,0,5,15,impT_nonempty
go-perfstat__go,https://github.com/go-perfstat/go,81d18c9089323edb22468d85eb9b5a5088b9132e,1.24.5,0,4,13,impT_nonempty
godbus__dbus,https://github.com/godbus/dbus,7914b92d5597b6f7b11598ae30680aaae45ae88e,1.20,0,0,2,impT_empty
golang__glog,https://github.com/golang/glog,2b790ef78571cd58d29ce909a8d4e3f71cc4c47e,1.19,0,1,2,impT_nonempty
golobby__router,https://github.com/golobby/router,aaaa31548f01e43d8a0e02728eee9e5c8db7de1f,1.17,0,4,7,impT_nonempty
gomodule__redigo,https://github.com/gomodule/redigo,57c8b99ccb90c3401bec6e09289081e8b78b3bde,1.17,0,4,7,impT_nonempty
gomutex__godocx,https://github.com/gomutex/godocx,aefd2d814cd102ae95797d502d56565832785894,1.18,0,4,7,impT_nonempty
goptics__varmq,https://github.com/goptics/varmq,1f9d9b588f7361d7520299657dface0ea14f46a6,1.24.0,0,4,7,impT_nonempty
goradd__maps,https://github.com/goradd/maps,e9dafc66083cd80aa581d78eaa6a1cdbfbd6a4e7,1.23,0,4,7,impT_nonempty
gsamokovarov__jump,https://github.com/gsamokovarov/jump,0df9afdbcc6d8532a918dcf355cd9dd29364ec1b,1.21,0,1,2,impT_nonempty
hamed-yousefi__gowl,https://github.com/hamed-yousefi/gowl,c359fc4ea307f2c6c310e5af49eb7b2dd23fb515,1.17,0,4,7,impT_nonempty
huydang284__fixedwidth,https://github.com/huydang284/fixedwidth,65aef34bf0bcce4367868a28901aa67457a7e124,1.12,0,1,2,impT_nonempty
icza__bitio,https://github.com/icza/bitio,708ad1b61bcf9ee8cfeb769a16c82e5033279d50,1.13,0,1,2,impT_nonempty
junioryono__godi,https://github.com/junioryono/godi,dfe475678533d3322f8033cb60f9fd3c3b89eae3,1.26.0,0,4,7,impT_nonempty
kamilsk__semaphore,https://github.com/kamilsk/semaphore,91c10c6c3c9c7761288a824171c7a5a709784818,1.11,0,3,5,impT_nonempty
kdomanski__iso9660,https://github.com/kdomanski/iso9660,08dd38cef6d88b5f983128785ae2908ed2636e20,1.19,0,4,7,impT_nonempty
kolesa-team__go-webp,https://github.com/kolesa-team/go-webp,bf7924d9a4e20d5c667f8643458718f16d11babc,1.10,0,4,7,impT_nonempty
larapulse__migrator,https://github.com/larapulse/migrator,cfcb45ce8b15ac8216b3b4146bd067400ae0c2ef,1.13,0,5,8,impT_nonempty
linxGnu__goseaweedfs,https://github.com/linxGnu/goseaweedfs,dc717016bd349d72abad92a20a2478bce7319e0b,,0,4,7,impT_nonempty
logrusorgru__aurora,https://github.com/logrusorgru/aurora,24c528a74b3127045c0efb9b2dee7ee5ad5bd6ed,1.19,0,4,7,impT_nonempty
