codeberg.org/chavacava/garif	v0.2.1
github.com/BurntSushi/toml	v1.6.0
github.com/fatih/color	v1.19.0
github.com/fatih/structtag	v1.2.0
github.com/google/go-cmp	v0.6.0
github.com/hashicorp/go-version	v1.9.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.22
github.com/mgechev/dots	v1.0.0
github.com/spf13/afero	v1.15.0
github.com/yuin/goldmark	v1.4.13
golang.org/x/mod	v0.37.0
golang.org/x/net	v0.56.0
golang.org/x/sync	v0.21.0
golang.org/x/sys	v0.46.0
golang.org/x/telemetry	v0.0.0-20260625142307-59b4966ccb57
golang.org/x/text	v0.37.0
golang.org/x/tools	v0.47.0
