Cloning into '/home/user/SBOM/work/derailed__k9s'...
go: downloading go1.25.8 (linux/amd64)
go: downloading github.com/fvbommel/sortorder v1.1.0
go: downloading k8s.io/api v0.35.3
go: downloading k8s.io/apiextensions-apiserver v0.35.3
go: downloading k8s.io/apimachinery v0.35.3
go: downloading k8s.io/cli-runtime v0.35.1
go: downloading k8s.io/client-go v0.35.3
go: downloading github.com/lmittmann/tint v1.1.3
go: downloading k8s.io/metrics v0.35.3
go: downloading github.com/adrg/xdg v0.5.3
go: downloading github.com/derailed/tcell/v2 v2.3.1-rc.4
go: downloading github.com/derailed/tview v0.8.5
go: downloading github.com/karrick/godirwalk v1.17.0
go: downloading github.com/lucasb-eyer/go-colorful v1.3.0
go: downloading k8s.io/klog/v2 v2.140.0
go: downloading github.com/sahilm/fuzzy v0.1.1
go: downloading github.com/rakyll/hey v0.1.5
go: downloading helm.sh/helm/v3 v3.20.2
go: downloading github.com/cenkalti/backoff/v4 v4.3.0
go: downloading github.com/itchyny/gojq v0.12.18
go: downloading github.com/mattn/go-runewidth v0.0.21
go: downloading k8s.io/kubectl v0.35.1
go: downloading github.com/anchore/clio v0.0.0-20250715152405-a0fa658e5084
go: downloading github.com/anchore/grype v0.110.0
go: downloading github.com/anchore/syft v1.42.3
go: downloading github.com/olekukonko/tablewriter v1.1.4
go: downloading github.com/atotto/clipboard v0.1.4
go: downloading github.com/go-errors/errors v1.5.1
go: downloading k8s.io/utils v0.0.0-20251002143259-bc988d571ff4
go: downloading github.com/gregjones/httpcache v0.0.0-20190611155906-901d90724c79
go: downloading golang.org/x/term v0.42.0
go: downloading github.com/mattn/go-isatty v0.0.20
go: downloading sigs.k8s.io/structured-merge-diff/v6 v6.3.0
go: downloading github.com/rivo/uniseg v0.4.7
go: downloading github.com/gdamore/encoding v1.0.1
go: downloading github.com/clipperhouse/uax29/v2 v2.6.0
go: downloading github.com/itchyny/timefmt-go v0.1.7
go: downloading github.com/Masterminds/sprig/v3 v3.3.0
go: downloading github.com/gosuri/uitable v0.0.4
go: downloading k8s.io/component-base v0.35.3
go: downloading github.com/anchore/fangs v0.0.0-20250716230140-94c22408c232
go: downloading github.com/anchore/go-homedir v0.0.0-20250319154043-c29668562e4d
go: downloading github.com/anchore/go-logger v0.0.0-20250318195838-07ae343dd722
go: downloading github.com/gookit/color v1.6.0
go: downloading github.com/iancoleman/strcase v0.3.0
go: downloading github.com/pborman/indent v1.2.1
go: downloading github.com/pkg/profile v1.7.0
go: downloading github.com/wagoodman/go-partybus v0.0.0-20230516145632-8ccac152c651
go: downloading github.com/anchore/stereoscope v0.1.22
go: downloading github.com/wagoodman/go-progress v0.0.0-20260303201901-10176f79b2c0
go: downloading github.com/bmatcuk/doublestar/v2 v2.0.4
go: downloading github.com/gohugoio/hashstructure v0.6.0
go: downloading github.com/scylladb/go-set v1.0.3-0.20200225121959-cc7b2070d91e
go: downloading github.com/anchore/go-collections v0.0.0-20251016125210-a3c352120e8c
go: downloading github.com/anchore/packageurl-go v0.1.1-0.20250220190351-d62adb6e1115
go: downloading github.com/araddon/dateparse v0.0.0-20210429162001-6b43995a97de
go: downloading github.com/gabriel-vasile/mimetype v1.4.13
go: downloading github.com/olekukonko/errors v1.2.0
go: downloading github.com/olekukonko/ll v0.1.6
go: downloading go.yaml.in/yaml/v2 v2.4.3
