codeberg.org/go-fonts/liberation	v0.5.0
codeberg.org/go-latex/latex	v0.2.0
codeberg.org/go-pdf/fpdf	v0.11.1
git.sr.ht/~sbinet/gg	v0.7.0
github.com/ajstarks/svgo	v0.0.0-20211024235047-1546f124cd8b
github.com/goccmack/gocc	v1.0.2
github.com/golang/freetype	v0.0.0-20170609003504-e2365dfdc4a0
golang.org/x/image	v0.39.0
golang.org/x/mod	v0.34.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.42.0
golang.org/x/telemetry	v0.0.0-20260311193753-579e4da9a98c
golang.org/x/text	v0.36.0
golang.org/x/tools	v0.43.0
gonum.org/v1/plot	v0.17.0
gonum.org/v1/tools	v0.0.0-20200318103217-c168b003ce8c
