repo,tool,gt_imp_july,gt_imp_now,gt_impT_july,gt_impT_now,gt_all_july,gt_all_now,gt_counts_ok,july_n_all_raw,now_gt_all_tsv_lines,july_scores,now_main,now_main_empty,now_warm_cache,emptymain_source,verdict
abice__go-enum,trivy,23,23,29,29,49,49,yes,50,49,35/0/14/23/12/0/29/6/0,34/0/15/23/11/0/29/5/0,,34/0/15/23/11/0/29/5/0,no,differ
shenwei356__taxonkit,trivy,31,31,31,31,74,74,yes,75,74,36/0/38/31/5/0/31/5/0,35/0/39/31/4/0/31/4/0,,35/0/39/31/4/0/31/4/0,no,differ
