repo,sha,status,n_gt_imported,n_gt_impT,n_gt_all,n_syft,n_trivy,n_cdxgen,n_cyclonedx-gomod,golist_real_errors,golist_progress_lines,error_kinds
go-critic__go-critic,325d070a6839c2f5958f2d587d466730d7ea2e3a,OK,19,19,24,21,31,21,19,0,0,""
clevabit__libgoffi,596cf88fbe7a899bf5cdad832972cb8522d33e84,OK,1,1,1,1,1,1,1,0,0,""
confluentinc__confluent-kafka-go,b88333d3d307e04b0b3cf95b60e00433340cb937,OK,93,93,283,304,231,106,94,0,0,""
robinjoseph08__go-pg-migrations,90f793c83225cc4fc9ad667ec261a6955f9bb061,OK,11,15,74,44,32,11,28,0,0,""
vadiminshakov__committer,43fb42ea8e67cf3c99ec15af441b6ab2c61656c3,OK,24,28,111,34,28,24,24,0,0,""
rulego__rulego,06ea606ab639f2e7db77df81d7c3fea2993c46e0,OK,18,18,37,266,251,34,19,0,0,""
lynxbase__lynxdb,3689c8782914c385f46a982553feddb558386b39,OK,90,91,232,154,134,90,92,0,0,""
Zaba505__gws,0f356a408ea4ff0f41b97a59abd9d24d3e23ba4c,OK,2,2,33,24,33,2,2,0,0,""
osteele__liquid,5d9c036f526eb1b07e83e33beb6047329d2e7004,OK,2,6,373,234,207,2,204,0,0,""
nikolaydubina__fpmoney,b14cc5504bbb8500690d8cf9ae4349e9d0d34a01,OK,1,1,1,1,1,1,1,0,0,""
JohannesKaufmann__html-to-markdown,290df46a279e3d7d9011dbbb199658dfcb5ec272,OK,15,15,29,20,15,15,15,0,0,""
aliexpressru__gomemcached,6cb71dd2d9bf22019a50152f23893907ef27fb53,OK,18,23,56,31,23,18,18,0,0,""
thomaspoignant__go-feature-flag,cfb7f6cdc8f12ed891b6be1e5bf68c14e8e9c1b8,OK,256,284,726,364,319,260,255,0,0,""
zc2638__swag,9b1f0c8d2b5f70fea4ec3b45f5dee937a15ff0ae,OK,1,5,13,9,13,1,1,0,0,""
hashicorp__go-retryablehttp,fd004584a46724fae09e2f21d7c382e15c893f42,OK,1,6,12,10,6,1,1,0,0,""
kazhuravlev__options-gen,dce2fffd14c246347e0a220b7cd03fcd93a985d0,OK,11,15,23,18,15,11,11,0,0,""
openrundev__openrun,f49a3fa7d81414361418867c48c25b6a875311c3,OK,213,213,479,262,225,214,220,0,0,""
caddyserver__caddy,9738f49b952a337cdaf42175a0e92b01974c0e3c,OK,159,163,549,218,169,159,165,0,0,""
gogpu__systray,46016e597741622ddaf76d47537b246b1e641b8a,OK,1,1,3,3,3,1,3,0,0,""
gobuffalo__pop,1e0eb6664203dc05d9b3a6e1bcb9fc835ffdf2d4,OK,50,54,71,60,57,50,52,0,0,""
fabiocicerchia__go-proxy-cache,8a7675a4341d88595a64056578c170d71ed8f47c,OK,48,52,98,80,56,48,50,0,0,""
iyashjayesh__monigo,dd3becde1d91fd1e62843b95b2cc95ce895d85a8,OK,42,42,93,98,84,60,44,0,0,""
mattn__go-colorable,8bf39a204f13f0cfcf86ab9b297c3d6e0668e54a,OK,2,2,2,2,2,2,2,0,0,""
agilira__orpheus,394a9676ba86680aa7dd0d301da29f4f5e38cf1d,OK,5,5,5,24,25,5,5,0,0,""
Edgenesis__shifu,3a5166370f5da06e3a6e30d54e2cceb026fcb3ee,OK,126,134,435,166,137,126,119,0,0,""
goccmack__gocc,05e1d8e93f9e3248d41333746bfce4bd9958ddba,OK,1,1,2,1,1,1,1,0,0,""
assafmo__joincap,9ccd77bb9dded414f8f70307c278433533f07fca,OK,5,5,12,5,12,5,5,0,0,""
chrislusf__gleam,b5e191e634d2f3d08811db99cca6674e2f3d90b5,OK,68,68,278,96,70,68,69,0,0,""
gmsec__micro,ff155ed4bc81f82dcb11e852bf9de58d365c96d0,SKIP_retryable_sha_fetch_failed,,,,,,,,,,
gmsec__micro,ff155ed4bc81f82dcb11e852bf9de58d365c96d0,SKIP_retryable_sha_fetch_failed,,,,,,,,,,
gmsec__micro,ff155ed4bc81f82dcb11e852bf9de58d365c96d0,SKIP_permanent_retry_exhausted_after_3_attempts(sha_fetch_failed),,,,,,,,,,
Unrud__remote-touchpad,996edb05017136ab0a72e6b364b60dccfadf8a33,OK,2,2,8,5,5,2,5,0,0,""
lazynop__lazyenv,e1ad3ff6e24fa73c6fe7f3a42158d0ba5d119dd7,OK,21,25,40,32,25,21,21,0,0,""
milosgajdos__go-estimate,386635067950fda143c24bfcb3b5124d5cae6638,OK,13,17,52,23,18,13,14,0,0,""
codingsince1985__couchcache,b369ca12fba402367879d04036bf4a0d6affc5db,OK,10,10,21,16,13,10,10,0,0,""
francesconi__go-rampart,ddd96b6f152b0220c473d375c95b4a73df3c1ef3,OK,1,1,6,1,1,1,1,0,0,""
samber__oops,74199a37e4334e3b912a02c8bdd64951d32a6c07,OK,5,10,76,57,55,25,47,0,0,""
xitonix__trubka,dcc495632925b89e9747b429f7d209f3685b889e,OK,45,45,124,64,46,45,46,0,0,""
philips-labs__spiffe-vault,cacaad40a757e2ebb56eea33ffef9e85763c690f,OK,24,28,91,51,32,24,26,0,0,""
golobby__config,9c34056b457c5e1ab64fdb629e1fedb988776fa2,OK,5,8,16,12,16,5,5,0,0,""
icza__minquery,1e53665e370da51bb1576ab03a623b96f6864a4e,OK,1,2,6,5,6,1,1,0,0,""
go-kata__kinit,aef56cb6899f494a6402f7c2c542ad5dc700266f,OK,2,2,2,2,2,2,2,0,0,""
tiendc__go-csvlib,bdfff11100eb8dbeadfe10cc65db0bf66d36117a,OK,4,8,10,9,8,4,4,0,0,""
rafaelespinoza__godfish,1af08d6bff28db42f449e4427d381e5792ce7da6,OK,23,23,68,58,25,23,25,0,0,""
opnlabs__dot,67cf6f958fb80faa947ec9da3c35e0d3cdb45a23,OK,29,32,54,44,40,29,33,0,0,""
gosuri__uiprogress,484b9f69ea000422e1873db136dbb80e30b5de3c,OK,1,1,3,2,3,1,3,0,0,""
blinklabs-io__nview,1488e2c5102fedd4cfbcd5f97c390ff196ce7cab,OK,22,22,59,35,29,22,27,0,0,""
uber-go__dig,770912487056bfe8bc9bd5879a4e049f68989ab0,OK,4,4,6,5,4,4,1,0,0,""
mum4k__termdash,4b322f4b5fe99d347022b52e9b295a8e5d17bf7b,OK,11,11,20,11,11,11,11,0,0,""
Humpheh__goboy,ef499ef7a0f0d6750723ec578280bbe6928f12c7,OK,8,12,28,17,16,8,12,0,0,""
krotik__eliasdb,88a1da66df9527aa97e8781dfc91cb9feb08125c,OK,3,3,3,3,3,3,3,0,0,""
pterm__pterm,bacb2fc434b361b8951d1c7649c2029b1d7b6a83,OK,10,14,29,19,14,10,10,0,0,""
FiloSottile__age,706dfc1e799a03443ae46023502bd88d4e9e324f,OK,6,9,17,9,9,6,6,0,0,""
becheran__roumon,bb999f1a58b7aec4ef7c76a7acebd8390692285a,OK,5,9,12,10,9,5,5,0,0,""
pardnchiu__go-jwt,5e1f4557367c40fe02db8a0269cb24b4e566818c,OK,20,20,52,42,37,20,31,0,0,""
nikogura__gomason,4ffa529178835f0a931aafa4fa1b514fac0a961f,OK,13,14,30,20,15,13,14,0,0,""
Jagerente__gocfg,047162ec057f33c5174db57edcf5a83f02248dec,OK,1,5,7,6,7,1,1,0,0,""
posener__cmd,74170b4e3d54cbf127199d98e0bc259202e9fcdf,OK,5,9,12,10,12,5,5,0,0,""
libgit2__git2go,4b14d29c207e9969ea62a7fe07d490b036c14722,OK,1,2,6,4,6,1,2,0,0,""
wangyoucao577__go-project-layout,7677aa2986d71a21f4589d33616f8335d09fe18e,OK,2,2,2,2,2,2,2,0,0,""
0xERR0R__blocky,23575a47721dea7497ee9017274594b64c5fd1f5,OK,128,132,334,231,194,128,188,0,0,""
psampaz__gothanks,4de29d56c24676ffd1cfafd68a24c1355c608311,OK,5,5,32,13,32,5,9,0,0,""
sourcegraph__zoekt,3c8b39b1ef4f8194cb912d7e6581cff9db224aa7,OK,121,131,387,177,138,121,126,0,0,""
pdupub__go-pdu,624ddd093decf9c02a43449d696701cb8df7e335,OK,138,138,442,181,150,138,150,0,0,""
msoap__go-carpet,ebd5df8ddd3708a5a47299ad3aa2f55410f9aaca,OK,7,7,16,10,7,7,7,0,0,""
VividCortex__robustly,5e1fcf937f386c26c701bee97a9cc79798e09f6b,OK,1,1,1,1,1,1,1,0,0,""
rubyist__circuitbreaker,aa1899571bdfc34ca5b981cd0144cca2759f282e,OK,2,3,3,3,3,2,2,0,0,""
vinod-morya__fibersse,2a4a0c3af72d1478d128fe2ad5518deb40dae85f,OK,16,16,28,24,16,16,16,0,0,""
gilbertchen__duplicacy,2def0161b377b369b1f831e86e50a473dd3dee32,OK,60,61,119,86,69,60,65,0,0,""
nicksnyder__go-i18n,94f5f67df91a966340ef80ce401fa0b4b94b8b4e,OK,3,3,7,4,4,3,3,0,0,""
zoomio__tagify,3d6a68cc3c926c3b5fa265605fd6f75dba19f12a,OK,15,19,33,26,23,15,16,0,0,""
dikhan__terraform-provider-openapi,53c058558db31f8ee3a73f855095d7a21fb96343,OK,65,74,221,119,263,79,66,0,0,""
markfarnan__go-canvas,6971ccd00770ac5ee39846076d21935a933364ee,OK,3,3,7,4,7,3,3,0,0,""
janiltonmaciel__statiks,e0f1bd64688f82261cc2e8aa6325249b062caa6c,OK,7,41,66,50,44,7,7,0,0,""
catchplay__scaffold,8500479f1f1a4fc64c3f908e392875ff0741dedf,OK,2,6,8,7,6,2,2,0,0,""
chaindead__modup,1146e47133882b82dfd1b22977bb9ba65b6f944e,OK,27,27,44,37,31,27,30,0,0,""
jfeliu007__goplantuml,81d136b30c93094a3a54e46940f9e9ef3bf0ee18,OK,2,2,78,2,2,2,2,0,0,""
spiffe__spire,dbe7b01e35f127f166f1c2a7a203903d3377392a,OK,307,308,800,395,323,307,320,0,0,""
kjkrol__goke,55aca30456f128766c7d935ff523561f39f1899e,OK,1,5,7,15,14,8,1,0,0,""
garethgeorge__backrest,626156cd8e15745b84bfe86099457d9db8372c5d,OK,44,50,130,86,59,59,52,0,0,""
lf-edge__ekuiper,f536109b047562d72083ac68266fb4d84c1ae0f5,OK,151,155,923,439,416,418,399,0,0,""
arikama__go-mysql-test-container,ce91e693f26f57712f9079d7bee9a0c2d5f0af82,OK,27,31,302,50,37,27,32,0,0,""
duke-git__lancet,747dddee8bf8767023297e22b0e6c4efb8dc0f2f,OK,2,2,6,2,2,2,2,0,0,""
miniscruff__changie,791a4f73e5ed4b80384f2a2e2c66d14b7eb0094b,OK,43,43,62,54,46,43,45,0,0,""
google__ko,4c8d9726870262e4fb7fccd3a2d5832a67cf5d8b,OK,158,158,511,250,168,158,162,0,0,""
go-sonic__sonic,53db5562b4fb8da9b7a7be694233ff7bcff0b35b,OK,97,97,211,140,112,97,109,0,0,""
go-acme__lego,2a8fe3b2f11ed146f34a71af6812f81852cbf4f0,SKIP_retryable_sha_fetch_failed,,,,,,,,,,
go-acme__lego,2a8fe3b2f11ed146f34a71af6812f81852cbf4f0,SKIP_retryable_sha_fetch_failed,,,,,,,,,,
go-acme__lego,2a8fe3b2f11ed146f34a71af6812f81852cbf4f0,SKIP_permanent_retry_exhausted_after_3_attempts(sha_fetch_failed),,,,,,,,,,
loov__lensm,7c6d405f3a96493a02d9fcda99636465f38e873e,OK,13,13,39,20,14,13,14,0,0,""
knq__xo,a164ace287d86a70e2c1f0e7afd7b79fdbbd7dbb,OK,33,33,79,52,33,33,33,0,0,""
shomali11__gridder,5f3b82d74585541fabacdc5010429fa9f0a5829e,OK,3,7,10,8,10,3,3,0,0,""
smartystreets__goconvey,a50310f1e3e53e63e2d23eb904f853aa388a5988,OK,4,4,24,6,5,4,5,0,0,""
miladibra10__vjson,44bc7b3a4853b63cb7727937e33b26df9cdfb4c8,OK,7,11,13,12,11,7,7,0,0,""
moov-io__ach,7dc72bbf411873b05b6bbc46a7f002051439828a,OK,31,31,194,43,32,31,32,0,0,""
k-capehart__go-salesforce,d78427b1c23d83de21cc1ee08f7a1a02b04c9301,OK,6,6,33,15,9,6,6,0,0,""
cockroachdb__errors,4fc17f8d44046793da85f80caca9a58420ce0112,OK,17,23,188,39,23,17,16,0,0,""
james-bowman__sparse,495ee4f84d35f7d16403aafdacf88297f04577ca,OK,1,2,22,2,22,1,1,0,0,""
neilotoole__sq,b150f0177807bfb102cf2cd55f70a0204cf3d1fe,OK,124,130,504,409,350,326,137,0,0,""
orlangure__gnomock,5ce19d18d84a704b1f5b90b5a5d59fb12d889f9c,OK,127,134,274,183,143,128,126,0,0,""
malaschitz__randomForest,7c30b8b21d88726338ea43b4478a67208fe2230e,OK,2,2,244,5,244,2,2,0,0,""
gkampitakis__go-snaps,07ef1d2d05c76635a8d438405e1d0cced581ebe3,OK,11,11,23,15,11,11,11,0,0,""
kubernetes-sigs__kind,3a8597e98e25e646978ad8dce41604e8175ad6d8,OK,11,11,23,408,407,402,12,0,0,""
RoaringBitmap__roaring,44559cd5c0e01050eb7ee87feb73a1b6ee90cf43,OK,2,7,19,14,12,2,7,0,0,""
bamzi__jobrunner,d0b7b07694be151ac3e8ad383ad1d72edeae733c,OK,1,1,1,1,1,1,1,0,0,""
zendev-sh__zenflow,7136bee1c72119cae7b046ed23aa27586da3c7c4,OK,12,13,63,45,33,31,32,0,0,""
MordaTeam__go-config,dbe64aeba7c76ca55c0b22c2f1339d9a327afabb,OK,20,61,231,101,69,20,21,0,0,""
getlantern__systray,22c167e80905f87867fc05fbe553342578976d7b,OK,9,9,17,16,17,9,13,0,0,""
gookit__config,0edfefc8d9cda936b2dec5b96bca445a55f71ac5,OK,13,13,18,16,13,13,13,0,0,""
nalgeon__redka,d3c353f024704f99c87049251bb987beba62915e,OK,5,6,6,33,28,21,5,0,0,""
appleboy__gorush,ed1e5d00e40b5cc614a0d8cd9b8eeb67d4160993,OK,130,136,391,207,150,130,144,0,0,""
seiflotfy__cuckoofilter,a2f2c23f1771bc87e53bb9ddb453614ee549c816,OK,1,5,7,6,7,1,1,0,0,""
kpango__glg,d303ca943b313ad990ded56f883cd8c1e67775cf,OK,2,6,14,11,6,2,2,0,0,""
g4s8__envdoc,38ffcf35e3c45b4d85cad98d5f1043800402c3f0,OK,2,4,19,13,15,2,2,0,0,""
bobg__combo,ea5f32e452a1b2d982dbaca6ca03435eba09e1b2,OK,5,5,9,7,5,5,5,0,0,""
maxbrunsfeld__counterfeiter,12304d656a72ff0564075fe990207db5cfd82148,OK,4,9,19,15,13,4,4,0,0,""
pesos__grofer,2346617648269698bf9234c5d650a8553109f14e,OK,42,42,380,57,380,42,46,0,0,""
harshaneel__localaik,4538828144ab24843c2f87d7c919853e5a68ceaa,OK,22,22,83,23,22,22,22,0,0,""
ikawaha__kagome,e3145d8014c24b31b0ff5f995b1be8ac266c63ca,OK,3,3,4,9,10,NA,3,0,0,""
cogentcore__core,eb3769237ab0bcf49901fe40350fddb0061f8461,OK,66,66,123,84,74,66,71,0,0,""
posener__wstest,61dfd9c6936efd3d93dfd05f77d8d7d65a6dc14c,OK,1,5,7,6,7,1,1,0,0,""
uber-go__fx,d5da5b04ac906bfbad8b400baeee9b970c1be6f3,OK,4,9,15,19,15,11,4,0,0,""
hyperboloide__lk,b291812e321652989e934e347803847f53c13612,OK,3,7,10,8,7,3,3,0,0,""
grafana__k6,99d25c36859b402452b1be58da2d2d63c55ba69c,OK,89,89,174,110,100,NA,90,0,0,""
circa10a__go-aws-news,16ccb95337793663ad2710b44810a650bce77e7c,OK,32,36,48,40,39,32,32,0,0,""
dgraph-io__ristretto,67cb59139a2f93fab17e7f199a5c5b3dbc7850db,OK,3,8,10,9,8,3,3,0,0,""
mewkiz__flac,f26319f6afb6ec27cd53fdb8090b97d658763e57,OK,3,3,9,4,3,3,3,0,0,""
swithek__sessionup,c4a6ab676b8458edcc879a7284eeaa3f5d02d9cf,OK,3,3,3,3,3,3,3,0,0,""
structy__log,1f766c8d0b3cf53d9e5f194f842f7d8b30cd6b52,OK,3,3,3,3,3,3,3,0,0,""
containers__podman-tui,bef79ba32040010c233633b89019e9495338e48c,OK,128,135,484,177,143,143,133,0,0,""
authzed__spicedb,fd84b2a9bffbba5fd7fda300bd13de9510de3432,OK,228,230,469,508,466,NA,241,0,0,""
unionj-cloud__go-doudou,5f95e4862975dcab16d1c8f3412ad514f196fb70,OK,254,260,756,332,283,282,270,0,0,""
MatProGo-dev__MatProInterface.go,b1b52f2d1fc36023165115366d901a89971d9e74,OK,2,2,18,2,2,2,2,0,0,""
jxskiss__mcli,8943960560181d83d4f25870ed960cf7671c893b,OK,1,5,7,6,5,1,1,0,0,""
jcuga__golongpoll,223792742fa752d16c9c6ba075dbb1e7ac38bae2,OK,1,1,1,1,1,1,1,0,0,""
greencoda__confiq,844aa81142a284fa9b9cb9a5285dab05f72207be,OK,8,8,9,9,8,8,8,0,0,""
emperror__emperror,488c6525de31d3b472bad221769c5af58ef9e62c,OK,4,4,8,7,8,4,4,0,0,""
containous__traefik,14bc52dd1f1d1c08cedd1da531a527fc04d79c19,SKIP_retryable_sha_fetch_failed,,,,,,,,,,
containous__traefik,14bc52dd1f1d1c08cedd1da531a527fc04d79c19,SKIP_retryable_sha_fetch_failed,,,,,,,,,,
gavv__httpexpect,9be446356b6eddc852a20b420cbf19c3c53acca3,OK,30,32,58,134,113,95,30,0,0,""
RichardKnop__machinery,26dbe030840848d9c38fd090c3a46a29f29620e9,OK,46,50,118,87,76,65,51,0,0,""
awnumar__memguard,a5d81463bf244cf7b7867ecc599028659effe072,OK,4,4,7,4,4,4,4,0,0,""
unidoc__unioffice,0e541a03479bbd22d1e7c67cf9063d20450fd5d3,OK,28,28,46,33,28,28,28,0,0,""
posener__complete,9a4745ac49b29530e07dc2581745a218b646b7a3,OK,2,6,8,7,8,2,2,0,0,""
nanomsg__mangos,fc690cb7c2e286336449e4a67c9bb8fc67f42e0e,OK,2,2,7,4,4,2,4,0,0,""
briandowns__spinner,55430861f77b20de3f456775b00c706519464f36,OK,5,5,5,5,5,5,5,0,0,""
Sherifabdlnaby__gpool,5b145118c786ff06d35f6700e896bbba4671121c,OK,1,1,2,2,2,2,1,0,0,""
kitabisa__teler-waf,cf8eee099742ca534d7c89903d0d554f144b2152,OK,164,167,608,342,266,238,176,0,0,""
shurcooL__githubql,2402fdf4a9edcf51ed3f2eab4dc57c6867b10eea,OK,2,2,3,2,2,2,2,0,0,""
nicola-strappazzon__password-manager,5b7de5bb11d033a3a9c152fc68d6f2a12bb396e2,OK,12,16,41,28,27,12,20,0,0,""
alajmo__sake,86986df901293db0f7d1e548ef34c849bb1f709d,OK,19,21,44,32,28,19,20,0,0,""
1set__cronrange,b1b61d6744d871d804d274a22ee4c34b3c333fbc,OK,1,1,1,1,2,1,1,0,0,""
psampaz__go-mod-outdated,bb79367d102a05221196613dde574f1a0b81b556,OK,3,3,3,3,3,3,3,0,0,""
Southclaws__fault,15e49aecd6730e9cd848ad43775e82f05ce0329f,OK,9,16,53,22,20,12,9,0,0,""
lucasepe__tbd,6b34a435d25e91a791ae5af28a92aefcf5bd73f3,OK,21,26,49,36,49,21,23,0,0,""
golang__oauth2,4d954e69a88d9e1ccb8439f8d5b6cbef230c4ef9,OK,1,1,1,1,1,1,1,0,0,""
jirenius__go-res,cb6d0567f61c128bcb0269cfd79f773274fd1c0f,OK,20,20,60,29,21,20,20,0,0,""
peterbourgon__diskv,2566386005f64f58f34e1ff32907800a64537e6a,OK,1,1,1,1,1,1,1,0,0,""
offen__docker-volume-backup,e5ca9d22ef0fcfc1ae396872a4f0339b6c6d19b9,OK,88,88,395,144,99,88,90,0,0,""
goradd__got,b5b2a831cd7aa0fbda89fa8a322bad12cab2feb7,OK,1,5,11,6,5,1,1,0,0,""
pilosa__go-pilosa,17aa03ae34a4187aefea9619c90833d08a132c00,OK,5,5,167,54,170,5,5,0,0,""
zcalusic__sysinfo,64129099fd651e9158c261fbf5afc2dd92961a07,OK,1,1,1,1,1,1,1,0,0,""
aler9__gortsplib,adb6e25d64d9f33f84878578f4f1f34902da85c4,OK,12,18,28,19,18,12,14,0,0,""
cweill__gotests,2a672c523b4cb46a6dc7d04ab05fa0f4be72aade,OK,3,3,8,4,3,3,3,0,0,""
xyproto__permissions,3a8f86365425d8f72903a41bb35c392513716330,OK,11,11,20,15,12,12,11,0,0,""
ChainSafe__gossamer,c4b8870fbc1930aa11085610d098dc9e7ffd515c,OK,193,196,565,259,228,205,192,0,0,""
suzuki-shunsuke__flute,d1dffad686694a333c8a247422d5b13819353558,OK,5,6,20,7,6,5,5,0,0,""
liftbridge-io__liftbridge,af2a662695ce67c099e56d24444afb15bd8df232,OK,64,68,360,91,69,64,65,0,0,""
elC0mpa__aws-doctor,3968ed47c60d5248e90e13a22fd456c18a5f6285,OK,86,86,114,93,91,87,88,0,0,""
nwillc__genfuncs,217050bf17776529c07df0bb1f985ed5d039b29a,OK,1,5,12,6,5,1,1,0,0,""
keilerkonzept__topk,ad255afb4b179edc1c8d9f7658e513e7276f7003,OK,1,3,3,3,3,1,1,0,0,""
chenquan__go-pkg,8caf99744d98761102adc9bc0d81b7d9bcee7f81,OK,2,7,22,10,22,2,2,0,0,""
BrianLeishman__go-imap,d3164e249d8426e2bb43b753a7c50b3ea2dcaaa5,OK,26,26,37,30,26,26,26,0,0,""
knbr13__gitcs,c41bdc46a795d93a7e049585a3fd3ad619db8f90,OK,27,27,57,47,28,27,28,0,0,""
