repo,sha,status,n_gt_imported,n_gt_impT,n_gt_all,n_syft,n_trivy,n_cdxgen,n_cyclonedx-gomod,golist_real_errors,golist_progress_lines,error_kinds
s0rg__crawley,abf09cdfa92e1e5c14b8e1dfa848c3175dd23c0b,OK,4,4,9,5,5,4,4,0,0,""
msoap__shell2http,378e7516c7903c20139c7ae635fa5d6d7f8d6509,OK,2,2,24,9,24,2,2,0,0,""
slotix__dataflowkit,d33463d17312d648b7f0445313183d1d3884f050,OK,32,35,51,43,51,32,34,0,0,""
Fs02__go-todo-backend,c6b0d7e90d5162c96fd47b755f88fc0cbecefa88,OK,16,17,51,40,17,17,15,0,0,""
rapito__go-spotify,d2e340e7d18c4ddb9fbbc4318d76dea2d5a4e767,OK,21,25,135,35,27,21,21,0,0,""
GuilhermeCaruso__mooncake,dda32b02e9c90ffaf97d50cc13ac568ce136a83a,OK,4,4,10,5,4,4,4,0,0,""
octomation__go-module,efe80d1057a1a2214a9109c67b7b88e472d4f4bb,OK,1,1,1,187,188,187,1,0,0,""
alexeyco__simpletable,74ab2ba3af1419e533ede3bd04c6b793f6e3acb9,OK,2,2,2,2,2,2,2,0,0,""
getveil__veil,793dd085072b2b7b07170609d7e54dabf067fb32,OK,25,25,59,49,28,25,28,0,0,""
allaboutapps__go-starter,9f7a54cca5cf7b68657e6d5242bab3fcef81ae2d,OK,87,95,247,147,131,87,130,0,0,""
flowbaker__flowbaker,b0cfbae449e8f7012980110cac75b584d63f68b8,OK,176,179,307,230,196,176,193,0,0,""
edwingeng__wuid,29d94c466647f2ef2880a9526e1bdd38130ba4bd,OK,21,21,46,38,23,21,21,0,0,""
sdrapkin__guid,11de455242732505d25a011e66390747028feb0e,OK,1,1,1,1,1,1,1,0,0,""
timdp__lwc,3330928c9d82200837350f85335f5e6c09f0658b,OK,3,3,3,3,3,3,3,0,0,""
koffeinsource__go-imgur,430c11fbfcc7e00663e6a4c5cad260f0c6a8c61e,OK,4,8,14,9,14,4,4,0,0,""
deepaksinghvi__cdule,d3c38b53bb368a115f44b4b6db6e1af9dfb34809,OK,34,40,123,51,43,34,34,0,0,""
tricksterproxy__trickster,1530013d90fdcf1020fc50855e0cb3230d1fa54d,OK,57,65,542,309,273,61,249,0,0,""
tidwall__sjson,3a21ce7b0cab4e0f0d91eb8db4a3d0434622eeb8,OK,3,3,3,3,3,3,3,0,0,""
volodymyrprokopyuk__go-blockchain,3f6e941df127a1b094e691c54c667e738f7ee171,OK,10,10,48,22,11,10,11,0,0,""
rickb777__date,28fb6ebb484ab37c47055524f992ced839b1beed,OK,4,4,10,7,5,4,5,0,0,""
jeffail__leaps,66b39e5485921ee18b4b0456afa3758c20748e1f,OK,14,14,91,27,91,14,32,0,0,""
KusionStack__kusion,02cc9d8b236ad73dc7dcc25a36f1b55fafb48632,OK,325,334,805,396,350,325,332,0,0,""
yuseferi__zax,70f8f98005c6919de34b71c9522627affd84f91f,OK,2,6,10,8,6,2,2,0,0,""
neilotoole__jsoncolor,5eb8b58dfbf85b00d32ecd0c59099d9bdcbc28fd,OK,5,12,14,13,12,5,5,0,0,""
e154__smart-home,0c57d18f1ce99aae70068cff1f3cc8a1b7d528f8,OK,139,142,750,189,171,171,166,0,0,""
dwin__goSecretBoxPassword,47e9f1c5e80cf1055e9f7a11aa05bdaf04d12150,OK,2,4,8,7,8,4,2,0,0,""
anchore__syft,ae9534203d4a49f2b96a05dfc1383e2376993c72,OK,288,305,782,NA,NA,NA,299,0,0,""
dwin__goSecretBoxPassword,47e9f1c5e80cf1055e9f7a11aa05bdaf04d12150,OK,2,4,8,7,8,4,2,0,0,""
