github.com/xuri/excelize/v2
github.com/davecgh/go-spew v1.1.1
github.com/pmezard/go-difflib v1.0.0
github.com/richardlehane/mscfb v1.0.6
github.com/richardlehane/msoleps v1.0.6
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.11.1
github.com/tiendc/go-deepcopy v1.7.2
github.com/xuri/efp v0.0.1
github.com/xuri/nfp v0.0.2-0.20250530014748-2ddeb826f9a9
golang.org/x/crypto v0.52.0
golang.org/x/image v0.38.0
golang.org/x/mod v0.35.0
golang.org/x/net v0.55.0
golang.org/x/sync v0.20.0
golang.org/x/sys v0.45.0
golang.org/x/term v0.43.0
golang.org/x/text v0.37.0
golang.org/x/tools v0.44.0
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3 v3.0.1
