github.com/boxesandglue/bagme
github.com/PuerkitoBio/goquery v1.11.0
github.com/andybalholm/cascadia v1.3.3
github.com/boxesandglue/baseline-pdf v1.1.15
github.com/boxesandglue/boxesandglue v0.2.28
github.com/boxesandglue/csshtml v0.0.12
github.com/boxesandglue/gofpdi v1.0.23
github.com/boxesandglue/htmlbag v0.0.26
github.com/boxesandglue/svgreader v0.0.2
github.com/boxesandglue/textshape v0.0.12
github.com/google/go-cmp v0.6.0
github.com/google/uuid v1.6.0
github.com/speedata/barcode v1.1.1
github.com/speedata/css v1.0.5
github.com/speedata/hyphenation v1.0.2
github.com/speedata/optionparser v1.1.1
github.com/yuin/goldmark v1.4.13
golang.org/x/crypto v0.46.0
golang.org/x/mod v0.17.0
golang.org/x/net v0.48.0
golang.org/x/sync v0.10.0
golang.org/x/sys v0.39.0
golang.org/x/telemetry v0.0.0-20240228155512-f48c80bd79b2
golang.org/x/term v0.38.0
golang.org/x/text v0.32.0
golang.org/x/tools v0.21.1-0.20240508182429-e35e4ccd0d2d
golang.org/x/xerrors v0.0.0-20190717185122-a985d3407aa7
