github.com/cenkalti/backoff	v2.2.1%2Bincompatible
github.com/grandcat/zeroconf	v1.0.0
github.com/klauspost/cpuid/v2	v2.3.0
github.com/miekg/dns	v1.1.72
github.com/openprinting/goipp	v1.2.0
github.com/richardwilkes/toolbox/v2	v2.15.0
github.com/yuin/goldmark	v1.8.2
github.com/zeebo/xxh3	v1.1.0
golang.org/x/image	v0.43.0
golang.org/x/mod	v0.37.0
golang.org/x/net	v0.56.0
golang.org/x/sync	v0.21.0
golang.org/x/sys	v0.46.0
golang.org/x/term	v0.44.0
golang.org/x/text	v0.38.0
golang.org/x/tools	v0.47.0
gopkg.in/yaml.v3	v3.0.1
