github.com/alicebob/miniredis/v2	v2.35.0
github.com/bsm/ginkgo/v2	v2.12.0
github.com/bsm/gomega	v1.27.10
github.com/bytedance/sonic	v1.13.3
github.com/bytedance/sonic/loader	v0.2.4
github.com/cespare/xxhash/v2	v2.3.0
github.com/cloudwego/base64x	v0.1.5
github.com/coocood/freecache	v1.2.4
github.com/davecgh/go-spew	v1.1.1
github.com/dgraph-io/ristretto/v2	v2.1.0
github.com/dgryski/go-farm	v0.0.0-20200201041132-a6ae2369ad13
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/dustin/go-humanize	v1.0.1
github.com/fsnotify/fsnotify	v1.4.9
github.com/go-logr/logr	v1.4.1
github.com/google/go-cmp	v0.6.0
github.com/klauspost/compress	v1.17.11
github.com/klauspost/cpuid/v2	v2.0.9
github.com/nxadm/tail	v1.4.8
github.com/onsi/ginkgo	v1.16.5
github.com/onsi/ginkgo/v2	v2.19.0
github.com/onsi/gomega	v1.34.1
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/redis/go-redis/v9	v9.11.0
github.com/stretchr/testify	v1.10.0
github.com/twitchyliquid64/golang-asm	v0.15.1
github.com/vmihailenco/msgpack/v5	v5.4.1
github.com/vmihailenco/tagparser/v2	v2.0.0
github.com/yuin/gopher-lua	v1.1.1
golang.org/x/arch	v0.0.0-20210923205945-b76863e36670
golang.org/x/exp	v0.0.0-20240904232852-e7e105dedf7e
golang.org/x/net	v0.27.0
golang.org/x/sync	v0.11.0
golang.org/x/sys	v0.29.0
golang.org/x/text	v0.16.0
google.golang.org/protobuf	v1.34.1
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v3	v3.0.1
