repo,kind,imp,all,app_n,mod_n,main_used,app_tp_imp,app_fp_imp,app_fn_imp,mod_tp_imp,mod_fp_imp,mod_fn_imp,app_tp_all,app_fp_all,app_fn_all,mod_tp_all,mod_fp_all,mod_fn_all
pancsta__asyncmachine-go,app_cmd,232,551,52,251,internal/cmd/am-dbg-video,52,0,180,232,19,0,52,0,499,251,0,300
lestrrat-go__jwx,app_run_fail,8,20,NA,11,cmd/jwx,NA,NA,NA,8,3,0,NA,NA,NA,11,0,9
go-task__task,app_cmd,124,385,9,124,cmd/release,9,0,115,123,1,1,9,0,376,124,0,261
rainu__go-command-chain,app_other,1,22,0,1,test_helper,0,0,1,1,0,0,0,0,22,1,0,21
kkyr__fig,lib_no_realmain,3,8,NA,3,NONE,NA,NA,NA,3,0,0,NA,NA,NA,3,0,5
woodpecker-ci__woodpecker,app_cmd,201,413,87,228,cmd/agent,87,0,114,199,29,2,87,0,326,228,0,185
bobg__merkle,lib_no_realmain,0,5,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,5
xujiajun__nutsdb,lib_no_realmain,13,20,NA,10,NONE,NA,NA,NA,10,0,3,NA,NA,NA,10,0,10
nicobistolfi__go-postgres-s3-backup,app_cmd,20,26,20,20,cmd/lambda,20,0,0,20,0,0,20,0,6,20,0,6
VinGarcia__ksql,lib_no_realmain,4,12,NA,4,NONE,NA,NA,NA,4,0,0,NA,NA,NA,4,0,8
capillariesio__capillaries,app_other,50,118,50,50,pkg/exe/daemon,50,0,0,50,0,0,50,0,68,50,0,68
jexia__semaphore,app_cmd,47,0,46,55,cmd/semaphore,45,1,2,46,9,1,0,46,0,0,55,0
quantumcycle__metaerr,lib_no_realmain,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
TeaEntityLab__fpGo,lib_no_realmain,0,12,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,12
consbio__mbtileserver,app_root,21,35,21,22,.,21,0,0,21,1,0,21,0,14,22,0,13
fyne-io__fyne,app_cmd,46,87,21,51,cmd/fyne,21,0,25,46,5,0,21,0,66,51,0,36
deepaksinghvi__cdule,app_root,34,123,34,34,.,34,0,0,34,0,0,34,0,89,34,0,89
clok__kemba,lib_no_realmain,5,16,NA,6,NONE,NA,NA,NA,5,1,0,NA,NA,NA,6,0,10
sideshow__apns2,app_other,7,0,7,7,apns2,7,0,0,7,0,0,0,7,0,0,7,0
gomutex__godocx,lib_no_realmain,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
kubeservice-stack__common,lib_no_realmain,117,532,NA,113,NONE,NA,NA,NA,113,0,4,NA,NA,NA,113,0,419
yl2chen__cidranger,lib_no_realmain,0,7,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,7
jeroenrinzema__psql-wire,lib_no_realmain,10,28,NA,10,NONE,NA,NA,NA,7,3,3,NA,NA,NA,10,0,18
go-gorp__gorp,lib_no_realmain,0,21,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,21
ndabAP__entitydebs,lib_no_realmain,29,79,NA,29,NONE,NA,NA,NA,29,0,0,NA,NA,NA,29,0,50
adrianosela__multikey,lib_no_realmain,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
starwalkn__kono,app_cmd,53,127,45,56,cmd/aastro,45,0,8,53,3,0,45,0,82,56,0,71
hedhyw__gherkingen,app_cmd,6,0,6,6,cmd/gherkingen,6,0,0,6,0,0,0,6,0,0,6,0
knq__chromedp,app_run_fail,6,9,NA,7,device,NA,NA,NA,6,1,0,NA,NA,NA,7,0,2
arunsupe__semantic-grep,app_root,4,7,4,4,.,4,0,0,4,0,0,4,0,3,4,0,3
rapito__go-spotify,lib_no_realmain,21,135,NA,21,NONE,NA,NA,NA,21,0,0,NA,NA,NA,21,0,114
karl-cardenas-coding__go-lambda-cleanup,app_run_fail,24,111,NA,25,.,NA,NA,NA,24,1,0,NA,NA,NA,25,0,86
gobeam__mongo-go-pagination,lib_no_realmain,12,55,NA,12,NONE,NA,NA,NA,12,0,0,NA,NA,NA,12,0,43
tiendc__go-validator,lib_no_realmain,6,12,NA,6,NONE,NA,NA,NA,6,0,0,NA,NA,NA,6,0,6
cloudwego__hertz,app_run_fail,13,26,NA,15,cmd/hz,NA,NA,NA,12,3,1,NA,NA,NA,15,0,11
flowbaker__flowbaker,app_other,176,307,175,193,cmd,175,0,1,176,17,0,175,0,132,193,0,114
golang__vscode-go,app_other,2,7,2,3,vscgo,2,0,0,2,1,0,2,0,5,3,0,4
centerorbit__depcharge,app_root,4,15,4,4,.,4,0,0,4,0,0,4,0,11,4,0,11
kubernetes__minikube,app_cmd,222,533,186,232,cmd/auto-pause,186,0,36,217,15,5,186,0,347,232,0,301
