repo,imp,all,app_n,mod_n,app_status,app_tp_imp,app_fp_imp,app_fn_imp,mod_tp_imp,mod_fp_imp,mod_fn_imp,app_tp_all,app_fp_all,app_fn_all,mod_tp_all,mod_fp_all,mod_fn_all
pancsta__asyncmachine-go,232,551,NA,251,APP_FAIL,NA,NA,NA,232,19,0,NA,NA,NA,251,0,300
lestrrat-go__jwx,8,20,NA,11,APP_FAIL,NA,NA,NA,8,3,0,NA,NA,NA,11,0,9
go-task__task,124,385,124,124,main:cmd/task,124,0,0,123,1,1,124,0,261,124,0,261
rainu__go-command-chain,1,22,0,1,main:test_helper,0,0,1,1,0,0,0,0,22,1,0,21
kkyr__fig,3,8,NA,3,APP_FAIL,NA,NA,NA,3,0,0,NA,NA,NA,3,0,5
woodpecker-ci__woodpecker,201,413,NA,228,APP_FAIL,NA,NA,NA,199,29,2,NA,NA,NA,228,0,185
bobg__merkle,0,5,NA,0,APP_FAIL,NA,NA,NA,0,0,0,NA,NA,NA,0,0,5
xujiajun__nutsdb,13,20,8,10,main:examples/emptybucket,8,0,5,10,0,3,8,0,12,10,0,10
nicobistolfi__go-postgres-s3-backup,20,26,20,20,main:cmd/lambda,20,0,0,20,0,0,20,0,6,20,0,6
VinGarcia__ksql,4,12,0,4,main:scripts,0,0,4,4,0,0,0,0,12,4,0,8
capillariesio__capillaries,50,118,40,50,main:test/code/fannie_mae,40,0,10,50,0,0,40,0,78,50,0,68
jexia__semaphore,47,0,7,55,main:examples/grpc/service,7,0,40,46,9,1,0,7,0,0,55,0
quantumcycle__metaerr,0,6,0,0,main:example,0,0,0,0,0,0,0,0,6,0,0,6
TeaEntityLab__fpGo,0,12,NA,0,APP_FAIL,NA,NA,NA,0,0,0,NA,NA,NA,0,0,12
consbio__mbtileserver,21,35,21,22,root,21,0,0,21,1,0,21,0,14,22,0,13
fyne-io__fyne,46,87,NA,51,APP_FAIL,NA,NA,NA,46,5,0,NA,NA,NA,51,0,36
deepaksinghvi__cdule,34,123,34,34,root,34,0,0,34,0,0,34,0,89,34,0,89
clok__kemba,5,16,NA,6,APP_FAIL,NA,NA,NA,5,1,0,NA,NA,NA,6,0,10
sideshow__apns2,7,0,4,7,main:_example/channel,4,0,3,7,0,0,0,4,0,0,7,0
gomutex__godocx,0,6,NA,0,APP_FAIL,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
kubeservice-stack__common,117,532,0,113,main:pkg/schedule/example,0,0,117,113,0,4,0,0,532,113,0,419
yl2chen__cidranger,0,7,0,0,main:example,0,0,0,0,0,0,0,0,7,0,0,7
jeroenrinzema__psql-wire,10,28,1,10,main:examples/auth,1,0,9,7,3,3,1,0,27,10,0,18
go-gorp__gorp,0,21,NA,0,APP_FAIL,NA,NA,NA,0,0,0,NA,NA,NA,0,0,21
ndabAP__entitydebs,29,79,NA,29,APP_FAIL,NA,NA,NA,29,0,0,NA,NA,NA,29,0,50
adrianosela__multikey,0,6,NA,0,APP_FAIL,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
starwalkn__kono,53,127,9,56,main:builtin/middlewares/auth,9,0,44,53,3,0,9,0,118,56,0,71
hedhyw__gherkingen,6,0,6,6,main:cmd/gherkingen,6,0,0,6,0,0,0,6,0,0,6,0
knq__chromedp,6,9,NA,7,APP_FAIL,NA,NA,NA,6,1,0,NA,NA,NA,7,0,2
arunsupe__semantic-grep,4,7,4,4,root,4,0,0,4,0,0,4,0,3,4,0,3
rapito__go-spotify,21,135,21,21,main:examples,21,0,0,21,0,0,21,0,114,21,0,114
karl-cardenas-coding__go-lambda-cleanup,24,111,NA,25,APP_FAIL,NA,NA,NA,24,1,0,NA,NA,NA,25,0,86
gobeam__mongo-go-pagination,12,55,12,12,main:example,12,0,0,12,0,0,12,0,43,12,0,43
tiendc__go-validator,6,12,NA,6,APP_FAIL,NA,NA,NA,6,0,0,NA,NA,NA,6,0,6
cloudwego__hertz,13,26,12,15,main:examples/standard,12,0,1,12,3,1,12,0,14,15,0,11
flowbaker__flowbaker,176,307,175,193,main:cmd,175,0,1,176,17,0,175,0,132,193,0,114
golang__vscode-go,2,7,2,3,main:vscgo,2,0,0,2,1,0,2,0,5,3,0,4
centerorbit__depcharge,4,15,4,4,root,4,0,0,4,0,0,4,0,11,4,0,11
kubernetes__minikube,222,533,NA,232,APP_FAIL,NA,NA,NA,217,15,5,NA,NA,NA,232,0,301
