github.com/BurntSushi/toml	v0.3.1
github.com/davecgh/go-spew	v1.1.1
github.com/fsnotify/fsnotify	v1.4.7
github.com/golang/mock	v1.6.0
github.com/hashicorp/hcl	v1.0.0
github.com/jtolds/gls	v4.20.0%2Bincompatible
github.com/kr/pretty	v0.1.0
github.com/kr/text	v0.1.0
github.com/magiconair/properties	v1.8.1
github.com/mitchellh/mapstructure	v1.1.2
github.com/pelletier/go-toml	v1.2.0
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rs/zerolog	v1.20.0
github.com/smartystreets/assertions	v0.0.0-20180927180507-b2de0cb4f26d
github.com/smartystreets/goconvey	v1.6.4
github.com/spf13/afero	v1.1.2
github.com/spf13/cast	v1.3.1
github.com/spf13/jwalterweatherman	v1.0.0
github.com/spf13/pflag	v1.0.5
github.com/spf13/viper	v1.7.1
github.com/stretchr/testify	v1.7.0
github.com/subosito/gotenv	v1.2.0
golang.org/x/sys	v0.0.0-20210510120138-977fb7262007
golang.org/x/text	v0.3.3
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/ini.v1	v1.51.0
gopkg.in/yaml.v2	v2.2.4
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
