repo,tool,n_all_tp,n_all_fp,n_all_fn,n_imp_tp,n_imp_fp,n_imp_fn,n_impT_tp,n_impT_fp,n_impT_fn,v_all_tp,v_all_fp,v_all_fn,v_imp_tp,v_imp_fp,v_imp_fn,v_impT_tp,v_impT_fp,v_impT_fn,fp_test,fp_otherOS,fp_direct_unused,fp_indirect_unused,fp_gosum_only,fp_sibling
SimonWaldherr__golang-examples,cdxgen,41,18,104,39,20,0,39,20,3,39,20,106,39,20,0,39,20,3,0,0,0,0,0,20
SimonWaldherr__golang-examples,cyclonedx-gomod,41,0,104,39,2,0,39,2,3,41,0,104,39,2,0,39,2,3,0,0,1,1,0,0
TeaEntityLab__fpGo,TIMEOUT_OR_EMPTY
alajmo__sake,syft,32,0,12,19,13,0,21,11,0,32,0,12,19,13,0,21,11,0,2,1,0,6,4,0
alajmo__sake,trivy,28,0,16,19,9,0,21,7,0,28,0,16,19,9,0,21,7,0,2,1,0,6,0,0
alajmo__sake,cdxgen,19,0,25,19,0,0,19,0,2,19,0,25,19,0,0,19,0,2,0,0,0,0,0,0
alajmo__sake,cyclonedx-gomod,20,0,24,19,1,0,19,1,2,20,0,24,19,1,0,19,1,2,0,1,0,0,0,0
alesr__redact,TIMEOUT_OR_EMPTY
alexsniffin__gosd,TIMEOUT_OR_EMPTY
gomutex__godocx,TIMEOUT_OR_EMPTY
gontainer__gontainer,syft,19,0,42,12,7,0,15,4,0,19,0,42,12,7,0,15,4,0,3,1,0,0,3,0
gontainer__gontainer,trivy,16,0,45,12,4,0,15,1,0,16,0,45,12,4,0,15,1,0,3,1,0,0,0,0
gontainer__gontainer,cdxgen,12,0,49,12,0,0,12,0,3,12,0,49,12,0,0,12,0,3,0,0,0,0,0,0
gontainer__gontainer,cyclonedx-gomod,13,0,48,12,1,0,12,1,3,13,0,48,12,1,0,12,1,3,0,1,0,0,0,0
gonum__gonum,syft,21,0,17,10,11,0,12,9,0,21,0,17,10,11,0,12,9,0,2,0,0,6,3,0
gonum__gonum,trivy,18,0,20,10,8,0,12,6,0,18,0,20,10,8,0,12,6,0,2,0,0,6,0,0
gonum__gonum,cdxgen,10,0,28,10,0,0,10,0,2,10,0,28,10,0,0,10,0,2,0,0,0,0,0,0
gonum__gonum,cyclonedx-gomod,16,0,22,10,6,0,10,6,2,16,0,22,10,6,0,10,6,2,0,0,0,6,0,0
iyashjayesh__goscaf,syft,19,0,12,11,8,0,11,8,0,19,3,12,11,11,0,11,11,0,0,1,0,0,7,0
iyashjayesh__goscaf,trivy,12,0,19,11,1,0,11,1,0,12,0,19,11,1,0,11,1,0,0,1,0,0,0,0
iyashjayesh__goscaf,cdxgen,11,0,20,11,0,0,11,0,0,11,0,20,11,0,0,11,0,0,0,0,0,0,0,0
iyashjayesh__goscaf,cyclonedx-gomod,12,0,19,11,1,0,11,1,0,12,0,19,11,1,0,11,1,0,0,1,0,0,0,0
jackc__pgx,syft,13,0,6,5,8,0,9,4,0,13,0,6,5,8,0,9,4,0,4,0,0,2,2,0
jackc__pgx,trivy,11,0,8,5,6,0,9,2,0,11,0,8,5,6,0,9,2,0,4,0,0,2,0,0
jackc__pgx,cdxgen,5,0,14,5,0,0,5,0,4,5,0,14,5,0,0,5,0,4,0,0,0,0,0,0
jackc__pgx,cyclonedx-gomod,4,0,15,4,0,1,4,0,5,4,0,15,4,0,1,4,0,5,0,0,0,0,0,0
jbrodriguez__mlog,TIMEOUT_OR_EMPTY
jcla1__gisp,TIMEOUT_OR_EMPTY
jeffail__leaps,syft,27,0,64,14,13,0,14,13,0,27,0,64,14,13,0,14,13,0,0,0,2,6,5,0
jeffail__leaps,trivy,91,0,0,14,77,0,14,77,0,91,0,0,14,77,0,14,77,0,0,0,2,6,69,0
jeffail__leaps,cdxgen,14,0,77,14,0,0,14,0,0,14,0,77,14,0,0,14,0,0,0,0,0,0,0,0
jeffail__leaps,cyclonedx-gomod,32,0,59,14,18,0,14,18,0,32,0,59,14,18,0,14,18,0,0,0,2,5,11,0
soniah__gosnmp,syft,8,3,9,1,10,0,5,6,0,6,5,11,1,10,0,5,6,0,4,0,0,0,3,3
soniah__gosnmp,trivy,7,3,10,1,9,0,5,5,0,5,5,12,1,9,0,5,5,0,4,0,0,0,2,3
soniah__gosnmp,cdxgen,1,0,16,1,0,0,1,0,4,1,0,16,1,0,0,1,0,4,0,0,0,0,0,0
soniah__gosnmp,cyclonedx-gomod,1,0,16,1,0,0,1,0,4,1,0,16,1,0,0,1,0,4,0,0,0,0,0,0
speedata__go-lua,TIMEOUT_OR_EMPTY
srfrog__dict,TIMEOUT_OR_EMPTY
zenthangplus__goccm,TIMEOUT_OR_EMPTY
zerosnake0__go-json-benchmark,syft,19,0,11,17,2,0,18,1,0,19,0,11,17,2,0,18,1,0,1,0,0,0,1,0
zerosnake0__go-json-benchmark,trivy,30,0,0,17,13,0,18,12,0,30,0,0,17,13,0,18,12,0,1,0,0,0,12,0
zerosnake0__go-json-benchmark,cdxgen,17,0,13,17,0,0,17,0,1,17,0,13,17,0,0,17,0,1,0,0,0,0,0,0
zerosnake0__go-json-benchmark,cyclonedx-gomod,17,0,13,17,0,0,17,0,1,17,0,13,17,0,0,17,0,1,0,0,0,0,0,0
zerosnake0__jzon,TIMEOUT_OR_EMPTY
