dario.cat/mergo	v1.0.2
github.com/cenkalti/backoff/v4	v4.3.0
github.com/cespare/xxhash/v2	v2.3.0
github.com/containerd/errdefs	v1.0.0
github.com/containerd/errdefs/pkg	v0.3.0
github.com/containerd/log	v0.1.0
github.com/containerd/platforms	v0.2.1
github.com/cpuguy83/dockercfg	v0.3.2
github.com/dave/dst	v0.27.3
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/distribution/reference	v0.6.0
github.com/docker/docker	v28.2.2+incompatible
github.com/docker/go-connections	v0.5.0
github.com/docker/go-units	v0.5.0
github.com/felixge/httpsnoop	v1.0.4
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/gogo/protobuf	v1.3.2
github.com/google/uuid	v1.6.0
github.com/klauspost/compress	v1.18.0
github.com/magiconair/properties	v1.8.10
github.com/moby/docker-image-spec	v1.3.1
github.com/moby/go-archive	v0.1.0
github.com/moby/patternmatcher	v0.6.0
github.com/moby/sys/sequential	v0.6.0
github.com/moby/sys/user	v0.4.0
github.com/moby/sys/userns	v0.1.0
github.com/moby/term	v0.5.2
github.com/morikuni/aec	v1.0.0
github.com/opencontainers/go-digest	v1.0.0
github.com/opencontainers/image-spec	v1.1.1
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/shirou/gopsutil/v4	v4.25.5
github.com/sirupsen/logrus	v1.9.3
github.com/stretchr/testify	v1.11.1
github.com/testcontainers/testcontainers-go	v0.38.0
github.com/testcontainers/testcontainers-go/modules/k3s	v0.38.0
github.com/testcontainers/testcontainers-go/modules/mysql	v0.37.0
github.com/tklauser/go-sysconf	v0.3.15
github.com/tklauser/numcpus	v0.10.0
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp	v0.65.0
go.opentelemetry.io/otel	v1.40.0
go.opentelemetry.io/otel/metric	v1.40.0
go.opentelemetry.io/otel/trace	v1.40.0
golang.org/x/crypto	v0.38.0
golang.org/x/mod	v0.24.0
golang.org/x/sync	v0.14.0
golang.org/x/sys	v0.40.0
golang.org/x/tools	v0.33.0
gopkg.in/yaml.v3	v3.0.1
