Cloning into '/home/user/SBOM/work/kubevela__kubevela'...
go: downloading k8s.io/apimachinery v0.31.10
go: downloading github.com/kubevela/pkg v1.10.0
go: downloading k8s.io/api v0.31.10
go: downloading k8s.io/client-go v0.31.10
go: downloading k8s.io/utils v0.0.0-20250604170112-4c0f3b243397
go: downloading github.com/kubevela/workflow v0.6.3
go: downloading github.com/oam-dev/terraform-controller v0.8.1-0.20250707044258-c0557127de25
go: downloading sigs.k8s.io/controller-runtime v0.19.7
go: downloading cuelang.org/go v0.14.1
go: downloading github.com/oam-dev/cluster-gateway v1.9.2-0.20250629203450-2b04dd452b7a
go: downloading k8s.io/component-base v0.31.10
go: downloading k8s.io/apiserver v0.31.10
go: downloading k8s.io/klog v1.0.0
go: downloading github.com/Netflix/go-expect v0.0.0-20180615182759-c93bf25de8e8
go: downloading github.com/hinshun/vt10x v0.0.0-20180616224451-1954e6464174
go: downloading github.com/spf13/pflag v1.0.7
go: downloading github.com/onsi/ginkgo/v2 v2.23.3
go: downloading github.com/onsi/gomega v1.36.2
go: downloading github.com/crossplane/crossplane-runtime v1.16.0
go: downloading github.com/jeremywohl/flatten/v2 v2.0.0-20211013061545-07e4a09fb8e4
go: downloading github.com/aryann/difflib v0.0.0-20210328193216-ff5ff6dc229b
go: downloading helm.sh/helm/v3 v3.14.4
go: downloading k8s.io/kubectl v0.31.10
go: downloading k8s.io/apiextensions-apiserver v0.31.10
go: downloading github.com/Masterminds/semver/v3 v3.2.1
go: downloading github.com/Masterminds/semver v1.5.0
go: downloading github.com/chartmuseum/helm-push v0.10.4
go: downloading sigs.k8s.io/kind v0.20.0
go: downloading github.com/getkin/kin-openapi v0.131.0
go: downloading github.com/go-resty/resty/v2 v2.8.0
go: downloading github.com/google/go-github/v32 v32.1.0
go: downloading github.com/imdario/mergo v0.3.16
go: downloading gitlab.com/gitlab-org/api/client-go v0.127.0
go: downloading golang.org/x/oauth2 v0.30.0
go: downloading github.com/magiconair/properties v1.8.7
go: downloading github.com/nacos-group/nacos-sdk-go/v2 v2.2.2
go: downloading github.com/pelletier/go-toml v1.9.5
go: downloading github.com/go-git/go-git/v5 v5.16.0
go: downloading github.com/hashicorp/go-version v1.6.0
go: downloading github.com/mitchellh/hashstructure/v2 v2.0.2
go: downloading gomodules.xyz/jsonpatch/v2 v2.4.0
go: downloading github.com/dave/jennifer v1.6.1
go: downloading github.com/prometheus/client_golang v1.20.5
go: downloading github.com/briandowns/spinner v1.23.0
go: downloading github.com/oam-dev/cluster-register v1.0.4-0.20250624042630-618dfa13eb5b
go: downloading k8s.io/kube-aggregator v0.31.10
go: downloading github.com/openkruise/rollouts v0.3.0
go: downloading k8s.io/metrics v0.31.10
go: downloading github.com/form3tech-oss/jwt-go v3.2.5+incompatible
go: downloading open-cluster-management.io/api v0.11.0
go: downloading github.com/tidwall/gjson v1.14.4
go: downloading github.com/oam-dev/stern v1.13.3-0.20250828063553-e1dd6271d131
go: downloading github.com/AlecAivazis/survey/v2 v2.1.1
go: downloading github.com/hashicorp/hcl/v2 v2.18.0
go: downloading github.com/oam-dev/terraform-config-inspect v0.0.0-20250902214508-15aa973b0d00
go: downloading github.com/google/go-containerregistry v0.18.0
go: downloading github.com/openkruise/kruise-api v1.4.0
go: downloading github.com/hashicorp/hcl v1.0.0
go: downloading k8s.io/cli-runtime v0.31.10
go: downloading sigs.k8s.io/gateway-api v0.7.1
go: downloading github.com/google/gofuzz v1.2.0
go: downloading github.com/klauspost/compress v1.17.10
go: downloading go.uber.org/automaxprocs v1.5.3
go: downloading github.com/evanphx/json-patch/v5 v5.9.0
go: downloading github.com/evanphx/json-patch v5.7.0+incompatible
go: downloading github.com/fluxcd/helm-controller/api v0.32.2
go: downloading github.com/fluxcd/source-controller/api v0.30.0
go: downloading google.golang.org/grpc v1.67.1
go: downloading sigs.k8s.io/apiserver-network-proxy/konnectivity-client v0.0.36
go: downloading sigs.k8s.io/apiserver-network-proxy v0.31.4
go: downloading github.com/kmodules/apiserver-runtime v1.1.2-0.20250422194347-c5ac4abaf2ae
go: downloading github.com/FogDong/uitable v0.0.5
go: downloading github.com/kyokomi/emoji v2.2.4+incompatible
go: downloading github.com/olekukonko/tablewriter v0.0.5
go: downloading golang.org/x/term v0.33.0
go: downloading github.com/jellydator/ttlcache/v3 v3.0.1
go: downloading github.com/kr/pty v1.1.8
go: downloading github.com/cockroachdb/apd/v3 v3.2.1
go: downloading golang.org/x/net v0.42.0
go: downloading github.com/gdamore/tcell/v2 v2.6.0
go: downloading github.com/rivo/tview v0.0.0-20221128165837-db36428c92d9
go: downloading golang.org/x/exp v0.0.0-20240719175910-8a7402abbf56
go: downloading github.com/bluele/gcache v0.0.2
go: downloading golang.org/x/mod v0.26.0
go: downloading golang.org/x/sync v0.16.0
go: downloading golang.org/x/text v0.27.0
go: downloading golang.org/x/tools v0.35.0
go: downloading dario.cat/mergo v1.0.0
go: downloading github.com/Masterminds/sprig/v3 v3.2.3
go: downloading github.com/Masterminds/sprig v2.22.0+incompatible
go: downloading github.com/golang/mock v1.6.0
go: downloading github.com/exponent-io/jsonpath v0.0.0-20151013193312-d6023ce2651d
