cloud.google.com/go/compute/metadata	v0.3.0
github.com/davecgh/go-spew	v1.1.1
github.com/decred/dcrd/dcrec/secp256k1/v4	v4.2.0
github.com/go-chi/chi/v5	v5.2.2
github.com/goccy/go-json	v0.10.2
github.com/golang-jwt/jwt/v5	v5.2.2
github.com/gorilla/context	v1.1.1
github.com/gorilla/mux	v1.6.2
github.com/gorilla/pat	v0.0.0-20180118222023-199c85a7f6d1
github.com/gorilla/securecookie	v1.1.1
github.com/gorilla/sessions	v1.1.1
github.com/jarcoal/httpmock	v0.0.0-20180424175123-9c70cfe4a1da
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/lestrrat-go/backoff/v2	v2.0.8
github.com/lestrrat-go/blackmagic	v1.0.2
github.com/lestrrat-go/httpcc	v1.0.1
github.com/lestrrat-go/iter	v1.0.2
github.com/lestrrat-go/jwx	v1.2.29
github.com/lestrrat-go/option	v1.0.1
github.com/markbates/going	v1.0.0
github.com/mrjones/oauth	v0.0.0-20180629183705-f4e24b6d100c
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.12.0
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.9.0
golang.org/x/crypto	v0.45.0
golang.org/x/oauth2	v0.30.0
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
