github.com/client9/misspell	v0.3.4
github.com/fzipp/gocyclo	v0.3.1
github.com/gordonklaus/ineffassign	v0.0.0-20210522101830-0589229737b2
github.com/kisielk/errcheck	v1.6.0
github.com/yuin/goldmark	v1.3.5
golang.org/x/crypto	v0.0.0-20200622213623-75b288015ac9
golang.org/x/lint	v0.0.0-20210508222113-6edffad5e616
golang.org/x/mod	v0.4.2
golang.org/x/net	v0.0.0-20210405180319-a5a99cb37ef4
golang.org/x/sync	v0.0.0-20210220032951-036812b2e83c
golang.org/x/sys	v0.0.0-20210630005230-0f9fa26af87c
golang.org/x/term	v0.0.0-20201126162022-7de9c90e9dd1
golang.org/x/text	v0.3.3
golang.org/x/tools	v0.1.5
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
