github.com/1set/starlight	v0.2.1
github.com/benbjohnson/clock	v1.1.0
github.com/chzyer/logex	v1.1.10
github.com/chzyer/readline	v0.0.0-20180603132655-2972be24d48e
github.com/chzyer/test	v0.0.0-20180213035817-a1ea475d72b1
github.com/davecgh/go-spew	v1.1.1
github.com/google/go-cmp	v0.5.5
github.com/google/uuid	v1.6.0
github.com/h2so5/here	v0.0.0-20200815043652-5e14eb691fae
github.com/montanaflynn/stats	v0.7.1
github.com/pkg/errors	v0.8.1
github.com/pmezard/go-difflib	v1.0.0
github.com/santhosh-tekuri/jsonschema/v5	v5.3.1
github.com/spyzhov/ajson	v0.9.6
github.com/stretchr/testify	v1.8.0
go.starlark.net	v0.0.0-20260324133313-ffb3f39dd27a
go.uber.org/atomic	v1.11.0
go.uber.org/goleak	v1.1.11
go.uber.org/multierr	v1.9.0
go.uber.org/zap	v1.24.0
golang.org/x/sys	v0.0.0-20220715151400-c0bba94af5f8
golang.org/x/term	v0.0.0-20220526004731-065cf7ba2467
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
google.golang.org/protobuf	v1.33.0
gopkg.in/yaml.v3	v3.0.1
