github.com/pemistahl/lingua-go
github.com/davecgh/go-spew v1.1.1
github.com/golang/protobuf v1.5.0
github.com/google/go-cmp v0.5.8
github.com/pmezard/go-difflib v1.0.0
github.com/shopspring/decimal v1.4.0
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.10.0
golang.org/x/exp v0.0.0-20221106115401-f9659909a136
golang.org/x/mod v0.6.0
golang.org/x/sys v0.1.0
golang.org/x/tools v0.2.0
golang.org/x/xerrors v0.0.0-20191204190536-9bdfabe68543
google.golang.org/protobuf v1.36.0
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3 v3.0.1
