al.essio.dev/pkg/shellescape	v1.5.1
github.com/BurntSushi/toml	v1.4.0
github.com/cpuguy83/go-md2man/v2	v2.0.3
github.com/creack/pty	v1.1.9
github.com/evanphx/json-patch/v5	v5.6.0
github.com/google/go-cmp	v0.5.9
github.com/google/shlex	v0.0.0-20191202100458-e7afc7fbc510
github.com/inconshreveable/mousetrap	v1.1.0
github.com/jessevdk/go-flags	v1.4.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.2.0
github.com/mattn/go-isatty	v0.0.20
github.com/niemeyer/pretty	v0.0.0-20200227124842-a10e7caefd8e
github.com/pelletier/go-toml	v1.9.5
github.com/pkg/errors	v0.9.1
github.com/russross/blackfriday/v2	v2.1.0
github.com/spf13/cobra	v1.8.0
github.com/spf13/pflag	v1.0.5
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/sys	v0.6.0
gopkg.in/check.v1	v1.0.0-20200902074654-038fdea0a05b
gopkg.in/yaml.v3	v3.0.1
sigs.k8s.io/yaml	v1.4.0
