github.com/davecgh/go-spew	v1.1.1
github.com/google/go-cmp	v0.6.0
github.com/kr/pretty	v0.1.0
github.com/kr/text	v0.2.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/testify	v1.8.1
github.com/stretchr/testify	v1.8.2
go.uber.org/dig	v1.19.0
go.uber.org/fx/docs	
go.uber.org/fx/internal/e2e	
go.uber.org/fx/tools	
go.uber.org/goleak	v1.2.0
go.uber.org/multierr	v1.10.0
go.uber.org/zap	v1.26.0
golang.org/x/mod	v0.23.0
golang.org/x/sync	v0.11.0
golang.org/x/sys	v0.0.0-20220412211240-33da011f77ad
golang.org/x/tools	v0.30.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/yaml.v3	v3.0.1
