github.com/davecgh/go-spew	v1.1.1
github.com/kr/pretty	v0.1.0
github.com/kr/text	v0.2.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.5.0
github.com/stretchr/testify	v1.8.1
go.uber.org/dig	v1.19.0
go.uber.org/goleak	v1.2.0
go.uber.org/multierr	v1.10.0
go.uber.org/zap	v1.26.0
golang.org/x/lint	v0.0.0-20190930215403-16217165b5de
golang.org/x/sys	v0.0.0-20220412211240-33da011f77ad
golang.org/x/tools	v0.1.5
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/yaml.v3	v3.0.1
