github.com/coregx/signals v0.1.0
github.com/go-text/typesetting v0.3.4
github.com/go-webgpu/goffi v0.5.1
github.com/gogpu/gg v0.48.3
github.com/gogpu/gogpu v0.39.0
github.com/gogpu/gpucontext v0.19.0
github.com/gogpu/gputypes v0.5.0
github.com/gogpu/naga v0.17.13
github.com/gogpu/wgpu v0.28.7
golang.org/x/image v0.40.0
golang.org/x/sys v0.44.0
golang.org/x/text v0.37.0
