github.com/Masterminds/semver/v3	v3.4.0
github.com/forcedotcom/go-soql	v0.0.0-20240507183026-011ceab61b9e
github.com/fsnotify/fsnotify	v1.4.7
github.com/go-logr/logr	v1.4.3
github.com/go-task/slim-sprig/v3	v3.0.0
github.com/go-viper/mapstructure/v2	v2.5.0
github.com/golang-jwt/jwt/v5	v5.3.1
github.com/golang/protobuf	v1.2.0
github.com/google/go-cmp	v0.7.0
github.com/google/pprof	v0.0.0-20250403155104-27863c87afa6
github.com/hpcloud/tail	v1.0.0
github.com/jszwec/csvutil	v1.10.0
github.com/onsi/ginkgo	v1.10.3
github.com/onsi/ginkgo/v2	v2.25.3
github.com/onsi/gomega	v1.38.3
github.com/spf13/afero	v1.15.0
github.com/yuin/goldmark	v1.4.13
go.uber.org/automaxprocs	v1.6.0
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.51.0
golang.org/x/mod	v0.35.0
golang.org/x/net	v0.55.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.45.0
golang.org/x/term	v0.43.0
golang.org/x/text	v0.37.0
golang.org/x/tools	v0.44.0
golang.org/x/xerrors	v0.0.0-20190717185122-a985d3407aa7
google.golang.org/protobuf	v1.36.7
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/fsnotify.v1	v1.4.7
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.2.7
