cloud.google.com/go/compute/metadata	v0.3.0
github.com/andybalholm/brotli	v1.2.0
github.com/bitly/go-simplejson	v0.5.1
github.com/bwmarrin/discordgo	v0.29.0
github.com/creack/pty	v1.1.9
github.com/davecgh/go-spew	v1.1.1
github.com/fatih/color	v1.18.0
github.com/fsnotify/fsnotify	v1.9.0
github.com/go-resty/resty/v2	v2.16.5
github.com/gofiber/fiber/v2	v2.52.14
github.com/golang/protobuf	v1.5.3
github.com/google/go-cmp	v0.7.0
github.com/google/go-querystring	v1.1.0
github.com/google/gofuzz	v1.0.0
github.com/google/uuid	v1.6.0
github.com/gorilla/websocket	v1.5.3
github.com/jarcoal/httpmock	v1.4.1
github.com/json-iterator/go	v1.1.12
github.com/klauspost/compress	v1.18.0
github.com/kr/pretty	v0.3.1
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.2.0
github.com/linode/linodego	v1.56.0
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.16
github.com/maxatome/go-testdeep	v1.12.0
github.com/miekg/dns	v1.1.68
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.2
github.com/niemeyer/pretty	v0.0.0-20200227124842-a10e7caefd8e
github.com/ovh/go-ovh	v1.9.0
github.com/philhofer/fwd	v1.1.3-0.20240916144458-20a13a1f6b7c
github.com/pkg/diff	v0.0.0-20210226163009-20ebb0f2a09e
github.com/pmezard/go-difflib	v1.0.0
github.com/rivo/uniseg	v0.2.0
github.com/rogpeppe/go-internal	v1.9.0
github.com/sirupsen/logrus	v1.9.3
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.10.0
github.com/tinylib/msgp	v1.2.5
github.com/transip/gotransip/v6	v6.26.0
github.com/valyala/bytebufferpool	v1.0.0
github.com/valyala/fasthttp	v1.65.0
github.com/valyala/tcplisten	v1.0.0
github.com/xyproto/randomstring	v1.0.5
github.com/yuin/goldmark	v1.4.13
golang.org/x/crypto	v0.52.0
golang.org/x/mod	v0.35.0
golang.org/x/net	v0.55.0
golang.org/x/oauth2	v0.30.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.45.0
golang.org/x/telemetry	v0.0.0-20260409153401-be6f6cb8b1fa
golang.org/x/term	v0.43.0
golang.org/x/text	v0.37.0
golang.org/x/time	v0.6.0
golang.org/x/tools	v0.44.0
golang.org/x/xerrors	v0.0.0-20191204190536-9bdfabe68543
google.golang.org/appengine	v1.6.7
google.golang.org/protobuf	v1.31.0
gopkg.in/alexcesaro/quotedprintable.v3	v3.0.0-20150716171945-2caba252f4dc
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/gomail.v2	v2.0.0-20160411212932-81ebce5c23df
gopkg.in/ini.v1	v1.67.0
gopkg.in/yaml.v3	v3.0.1
