github.com/gopherjs/gopherjs	v1.17.2
github.com/jtolds/gls	v4.20.0%2Bincompatible
github.com/smarty/assertions	v1.15.1
golang.org/x/mod	v0.15.0
golang.org/x/tools	v0.18.0
