Cloning into '/home/user/SBOM/work/formancehq__ledger'...
go: downloading go1.26.1 (linux/amd64)
go: downloading github.com/ThreeDotsLabs/watermill v1.5.1
go: downloading github.com/formancehq/go-libs/v5 v5.3.2
go: downloading github.com/go-chi/chi/v5 v5.2.5
go: downloading github.com/go-chi/cors v1.2.2
go: downloading github.com/riandyrn/otelchi v0.12.2
go: downloading go.opentelemetry.io/otel/metric v1.43.0
go: downloading github.com/go-chi/chi v4.1.2+incompatible
go: downloading go.opentelemetry.io/otel v1.43.0
go: downloading go.opentelemetry.io/otel/trace v1.43.0
go: downloading go.uber.org/fx v1.24.0
go: downloading github.com/alitto/pond v1.9.2
go: downloading github.com/iancoleman/strcase v0.3.0
go: downloading github.com/invopop/jsonschema v0.13.0
go: downloading github.com/uptrace/bun v1.2.18
go: downloading github.com/mitchellh/mapstructure v1.5.0
go: downloading github.com/robfig/cron/v3 v3.0.1
go: downloading github.com/spf13/cobra v1.10.2
go: downloading github.com/spf13/pflag v1.0.10
go: downloading github.com/spf13/viper v1.20.1
go: downloading go.opentelemetry.io/otel/sdk/metric v1.43.0
go: downloading github.com/bluele/gcache v0.0.2
go: downloading github.com/formancehq/numscript v0.0.24
go: downloading google.golang.org/grpc v1.80.0
go: downloading go.opentelemetry.io/otel/sdk v1.43.0
go: downloading github.com/antlr/antlr4/runtime/Go/antlr v1.4.10
go: downloading github.com/logrusorgru/aurora v2.0.3+incompatible
go: downloading go.uber.org/mock v0.6.0
go: downloading go.vallahaye.net/batcher v0.6.0
go: downloading github.com/ClickHouse/clickhouse-go/v2 v2.43.0
go: downloading github.com/olivere/elastic/v7 v7.0.32
go: downloading google.golang.org/protobuf v1.36.11
go: downloading github.com/shomali11/xsql v0.0.0-20190608141458-bf76292144df
go: downloading github.com/stoewer/go-strcase v1.3.1
go: downloading github.com/dop251/goja v0.0.0-20250630131328-58d95d85e994
go: downloading go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc v0.62.0
go: downloading golang.org/x/sync v0.20.0
go: downloading github.com/nats-io/nats.go v1.49.0
go: downloading github.com/onsi/gomega v1.39.1
go: downloading github.com/xeipuuv/gojsonschema v1.2.0
go: downloading go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp v0.66.0
go: downloading github.com/getkin/kin-openapi v0.134.0
go: downloading github.com/hashicorp/go-retryablehttp v0.7.8
go: downloading github.com/felixge/httpsnoop v1.0.4
go: downloading github.com/aws/aws-sdk-go-v2 v1.41.5
go: downloading github.com/aws/aws-sdk-go-v2/config v1.32.12
go: downloading github.com/sirupsen/logrus v1.9.4
go: downloading github.com/uptrace/opentelemetry-go-extra/otellogrus v0.3.2
go: downloading go.uber.org/zap v1.27.1
go: downloading github.com/IBM/sarama v1.46.3
go: downloading github.com/ThreeDotsLabs/watermill-aws v1.0.1
go: downloading github.com/ThreeDotsLabs/watermill-http/v2 v2.3.1
go: downloading github.com/ThreeDotsLabs/watermill-kafka/v3 v3.1.2
go: downloading github.com/ThreeDotsLabs/watermill-nats/v2 v2.1.3
go: downloading github.com/aws/aws-sdk-go-v2/credentials v1.19.12
go: downloading github.com/aws/aws-sdk-go-v2/service/sns v1.39.14
go: downloading github.com/aws/aws-sdk-go-v2/service/sqs v1.42.24
go: downloading github.com/aws/smithy-go v1.24.2
go: downloading github.com/xdg-go/scram v1.2.0
go: downloading go.opentelemetry.io/contrib/instrumentation/host v0.66.0
go: downloading go.opentelemetry.io/contrib/instrumentation/runtime v0.66.0
go: downloading go.opentelemetry.io/contrib/propagators/b3 v1.41.0
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetricgrpc v1.41.0
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetrichttp v1.43.0
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc v1.41.0
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp v1.43.0
go: downloading dario.cat/mergo v1.0.2
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlptrace v1.43.0
go: downloading github.com/aws/aws-sdk-go-v2/service/s3 v1.97.3
