github.com/gofiber/fiber/v3
github.com/andybalholm/brotli v1.2.1
github.com/davecgh/go-spew v1.1.1
github.com/fxamacker/cbor/v2 v2.9.2
github.com/gofiber/schema v1.8.0
github.com/gofiber/utils/v2 v2.1.0
github.com/google/uuid v1.6.0
github.com/klauspost/compress v1.18.6
github.com/mattn/go-colorable v0.1.15
github.com/mattn/go-isatty v0.0.22
github.com/philhofer/fwd v1.2.0
github.com/pmezard/go-difflib v1.0.0
github.com/shamaton/msgpack/v3 v3.1.2
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.11.1
github.com/tinylib/msgp v1.6.4
github.com/valyala/bytebufferpool v1.0.0
github.com/valyala/fasthttp v1.71.0
github.com/x448/float16 v0.8.4
github.com/xyproto/randomstring v1.0.5
golang.org/x/crypto v0.53.0
golang.org/x/mod v0.36.0
golang.org/x/net v0.55.0
golang.org/x/sync v0.21.0
golang.org/x/sys v0.46.0
golang.org/x/term v0.44.0
golang.org/x/text v0.38.0
golang.org/x/tools v0.45.0
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3 v3.0.1
