github.com/burntsushi/toml	v0.3.0
github.com/davecgh/go-spew	v1.1.0
github.com/ghodss/yaml	v1.0.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/testify	v1.2.1
github.com/xeipuuv/gojsonpointer	v0.0.0-20180127040702-4e3ac2762d5f
github.com/xeipuuv/gojsonreference	v0.0.0-20180127040603-bd5ef7bd5415
github.com/xeipuuv/gojsonschema	v0.0.0-20180207214316-8bcffc811467
golang.org/x/net	v0.0.0-20180404174746-b3c676e531a6
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v2	v2.2.1
