github.com/cucumber/gherkin-go/v11	v11.0.0
github.com/cucumber/godog	v0.10.0
github.com/cucumber/messages-go/v10	v10.0.3
github.com/davecgh/go-spew	v1.1.1
github.com/gofrs/uuid	v3.3.0%2Bincompatible
github.com/gogo/protobuf	v1.3.1
github.com/golang/protobuf	v1.5.2
github.com/google/go-cmp	v0.5.6
github.com/hashicorp/go-immutable-radix	v1.3.0
github.com/hashicorp/go-memdb	v1.3.0
github.com/hashicorp/go-uuid	v1.0.0
github.com/hashicorp/golang-lru	v0.5.4
github.com/kr/text	v0.2.0
github.com/niemeyer/pretty	v0.0.0-20200227124842-a10e7caefd8e
github.com/phayes/freeport	v0.0.0-20220201140144-74d24b5ae9f5
github.com/pmezard/go-difflib	v1.0.0
github.com/spf13/afero	v1.4.1
github.com/stretchr/testify	v1.7.0
golang.org/x/net	v0.0.0-20201021035429-f5854403a974
golang.org/x/sync	v0.0.0-20201020160332-67f06af15bc9
golang.org/x/sys	v0.0.0-20210119212857-b64e53b001e4
golang.org/x/text	v0.3.3
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
google.golang.org/genproto	v0.0.0-20200526211855-cb27e3aa2013
google.golang.org/grpc	v1.46.0
google.golang.org/protobuf	v1.27.1
gopkg.in/check.v1	v1.0.0-20200227125254-8fa46927fb4f
gopkg.in/yaml.v3	v3.0.0-20200615113413-eeeca48fe776
