github.com/aws/aws-sdk-go	v1.32.6
github.com/davecgh/go-spew	v1.1.0
github.com/go-sql-driver/mysql	v1.5.0
github.com/jmespath/go-jmespath	v0.3.0
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.5.1
golang.org/x/crypto	v0.0.0-20200510223506-06a226fb4e37
golang.org/x/net	v0.0.0-20200202094626-16171245cfb2
golang.org/x/sys	v0.0.0-20190412213103-97732733099d
golang.org/x/text	v0.3.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v2	v2.2.2
