Cloning into '/home/user/SBOM/work/viant__endly'...
go: downloading go1.25.1 (linux/amd64)
go: downloading github.com/logrusorgru/aurora v0.0.0-20190428105938-cea283e61946
go: downloading github.com/lunixbochs/vtclean v1.0.0
go: downloading github.com/satori/go.uuid v1.2.1-0.20181028125025-b2ce2384e17b
go: downloading github.com/viant/assertly v0.9.3-0.20240801181709-c4d200a736e1
go: downloading github.com/viant/toolbox v0.39.0
go: downloading gopkg.in/yaml.v2 v2.4.0
go: downloading github.com/jhump/protoreflect v1.15.6
go: downloading github.com/gomarkdown/markdown v0.0.0-20220310201231-552c6011c0b8
go: downloading github.com/klauspost/pgzip v1.2.5
go: downloading github.com/linkedin/goavro v2.1.0+incompatible
go: downloading github.com/viant/afs v1.26.2
go: downloading google.golang.org/protobuf v1.35.1
go: downloading github.com/viant/scy v0.26.0
go: downloading github.com/gorilla/websocket v1.4.0
go: downloading golang.org/x/net v0.34.0
go: downloading github.com/viant/gosh v0.3.0
go: downloading github.com/viant/parsly v0.3.3-0.20240717150634-e1afaedb691b
go: downloading github.com/viant/datly v0.16.1-0.20250428163746-0139a6defa80
go: downloading github.com/viant/xdatly/handler v0.0.0-20250418144853-029d9a05ae20
go: downloading github.com/viant/xdatly/types/core v0.0.0-20250307183722-8c84fc717b52
go: downloading github.com/viant/xdatly/types/custom v0.0.0-20240904221257-06e43f22d5f0
go: downloading github.com/viant/xdatly v0.5.4-0.20250418144853-029d9a05ae20
go: downloading github.com/ddddddO/gtree v1.10.9
go: downloading github.com/yuin/goldmark v1.4.13
go: downloading github.com/MichaelS11/go-cql-driver v0.1.1
go: downloading github.com/adrianwit/dyndb v0.2.1-0.20221210015531-e4c4fdf40805
go: downloading github.com/adrianwit/fbc v0.1.1
go: downloading github.com/adrianwit/fsc v0.2.0
go: downloading github.com/adrianwit/mgc v0.2.0
go: downloading github.com/go-sql-driver/mysql v1.7.1
go: downloading github.com/google/gops v0.3.23
go: downloading github.com/lib/pq v1.10.6
go: downloading github.com/viant/aerospike v0.2.11-0.20241108195857-ed524b97800d
go: downloading github.com/viant/afsc v1.9.2-0.20240422173805-b3d0ac5529a7
go: downloading github.com/viant/asc v0.5.2-0.20240920195908-e805e6de7865
go: downloading github.com/viant/bgc v0.9.0
go: downloading gopkg.in/src-d/go-git.v4 v4.13.1
go: downloading github.com/go-errors/errors v1.5.1
go: downloading github.com/nlopes/slack v0.5.1-0.20190214144636-e73b432e20b0
go: downloading github.com/viant/sqlx v0.16.4-0.20250330143046-7f3b76980252
go: downloading github.com/aws/aws-sdk-go v1.55.5
go: downloading golang.org/x/oauth2 v0.30.0
