github.com/davecgh/go-spew	v1.1.1
github.com/kardianos/osext	v0.0.0-20190222173326-2bc1f35cddc0
github.com/nakagami/chacha20	v0.1.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
gitlab.com/nyarla/go-crypt	v0.0.0-20160106005555-d9a5dc2b789b
golang.org/x/mod	v0.17.0
golang.org/x/sync	v0.11.0
golang.org/x/text	v0.22.0
golang.org/x/tools	v0.21.1-0.20240508182429-e35e4ccd0d2d
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
