github.com/spf13/viper
github.com/davecgh/go-spew v1.1.1
github.com/frankban/quicktest v1.14.6
github.com/fsnotify/fsnotify v1.9.0
github.com/go-viper/mapstructure/v2 v2.4.0
github.com/google/go-cmp v0.6.0
github.com/kr/pretty v0.3.1
github.com/kr/text v0.2.0
github.com/pelletier/go-toml/v2 v2.2.4
github.com/pmezard/go-difflib v1.0.0
github.com/rogpeppe/go-internal v1.9.0
github.com/sagikazarmark/locafero v0.12.0
github.com/spf13/afero v1.15.0
github.com/spf13/cast v1.10.0
github.com/spf13/pflag v1.0.10
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.11.1
github.com/subosito/gotenv v1.6.0
go.yaml.in/yaml/v3 v3.0.4
golang.org/x/mod v0.26.0
golang.org/x/sync v0.16.0
golang.org/x/sys v0.29.0
golang.org/x/text v0.28.0
golang.org/x/tools v0.35.0
gopkg.in/check.v1 v1.0.0-20190902080502-41f04d3bba15
gopkg.in/yaml.v3 v3.0.1
