github.com/andybalholm/brotli	v1.2.1
github.com/bytedance/gopkg	v0.1.3
github.com/bytedance/sonic	v1.15.2
github.com/bytedance/sonic/loader	v0.5.1
github.com/cloudwego/base64x	v0.1.6
github.com/davecgh/go-spew	v1.1.1
github.com/grbit/go-json	v0.11.0
github.com/klauspost/compress	v1.18.6
github.com/klauspost/cpuid/v2	v2.2.9
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/twitchyliquid64/golang-asm	v0.15.1
github.com/valyala/bytebufferpool	v1.0.0
github.com/valyala/fasthttp	v1.72.0
github.com/valyala/fastjson	v1.6.10
github.com/xyproto/randomstring	v1.0.5
github.com/yuin/goldmark	v1.4.13
go.uber.org/mock	v0.6.0
golang.org/x/arch	v0.0.0-20210923205945-b76863e36670
golang.org/x/crypto	v0.53.0
golang.org/x/mod	v0.27.0
golang.org/x/net	v0.56.0
golang.org/x/sync	v0.16.0
golang.org/x/sys	v0.46.0
golang.org/x/text	v0.38.0
golang.org/x/tools	v0.36.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
rsc.io/pdf	v0.1.1
