github.com/armon/go-radix	v0.0.0-20160115234725-4239b77079c7
github.com/bgentry/speakeasy	v0.0.0-20161015143505-675b82c74c0e
github.com/google/go-github	v17.0.1-0.20180819205025-d7732128a00e+incompatible
github.com/google/go-querystring	v0.0.0-20170111101155-53e6ce116135
github.com/jutkko/cli	v0.0.0-20170219122735-bd89e46a203f
github.com/mattn/go-isatty	v0.0.0-20170216235908-dda3de49cbfc
github.com/minio/minio-go	v2.0.5-0.20170410063337-b07bdc006df8+incompatible
golang.org/x/net	v0.0.0-20200520004742-59133d7f0dd7
golang.org/x/oauth2	v0.0.0-20180821212333-d2e6202438be
gopkg.in/yaml.v2	v2.3.0
