github.com/davecgh/go-spew	v1.1.1
github.com/inconshreveable/mousetrap	v1.0.0
github.com/mattn/go-runewidth	v0.0.4
github.com/olekukonko/tablewriter	v0.0.1
github.com/pmezard/go-difflib	v1.0.0
github.com/spf13/cobra	v0.0.3
github.com/spf13/pflag	v1.0.3
github.com/stretchr/objx	v0.5.0
github.com/stretchr/testify	v1.8.1
github.com/xeipuuv/gojsonpointer	v0.0.0-20180127040702-4e3ac2762d5f
github.com/xeipuuv/gojsonreference	v0.0.0-20180127040603-bd5ef7bd5415
github.com/xeipuuv/gojsonschema	v1.1.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
