Cloning into '/home/user/SBOM/work/keploy__keploy'...
go: downloading go1.26.1 (linux/amd64)
go: downloading github.com/go-chi/chi/v5 v5.2.3
go: downloading github.com/spf13/cobra v1.10.1
go: downloading go.uber.org/zap v1.27.0
go: downloading sigs.k8s.io/kustomize/kyaml v0.19.0
go: downloading github.com/andybalholm/brotli v1.2.0
go: downloading github.com/protocolbuffers/protoscope v0.0.0-20221109213918-8e7a6aafa2c9
go: downloading golang.org/x/net v0.50.0
go: downloading google.golang.org/grpc v1.75.1
go: downloading google.golang.org/protobuf v1.36.9
go: downloading github.com/moby/moby v26.0.2+incompatible
go: downloading github.com/spf13/viper v1.21.0
go: downloading github.com/cilium/ebpf v0.21.0
go: downloading golang.org/x/sync v0.19.0
go: downloading golang.org/x/sys v0.41.0
go: downloading github.com/emirpasic/gods v1.18.1
go: downloading github.com/gopacket/gopacket v1.4.0
go: downloading github.com/hashicorp/golang-lru/v2 v2.0.7
go: downloading github.com/agnivade/levenshtein v1.1.1
go: downloading github.com/miekg/dns v1.1.57
go: downloading vitess.io/vitess v0.23.3
go: downloading github.com/getsentry/sentry-go v0.28.1
go: downloading github.com/cloudflare/cfssl v1.6.4
go: downloading github.com/go-chi/render v1.0.3
go: downloading github.com/docker/docker v28.5.2+incompatible
go: downloading github.com/7sDream/geko v0.1.1
go: downloading github.com/pavlo-v-chernykh/keystore-go/v4 v4.5.0
go: downloading github.com/olekukonko/tablewriter v1.1.0
go: downloading github.com/keploy/jsonDiff v1.0.8
go: downloading github.com/k0kubun/pp/v3 v3.2.0
go: downloading github.com/wI2L/jsondiff v0.5.0
go: downloading github.com/jackc/pgx/v5 v5.9.2
go: downloading go.mongodb.org/mongo-driver/v2 v2.4.1
go: downloading github.com/creack/pty v1.1.24
go: downloading golang.org/x/term v0.40.0
go: downloading github.com/denisbrodbeck/machineid v1.0.1
go: downloading github.com/getkin/kin-openapi v0.126.0
go: downloading facette.io/natsort v0.0.0-20181210072756-2cd4dd1e2dcb
go: downloading golang.org/x/tools v0.41.0
go: downloading github.com/bufbuild/protocompile v0.14.1
go: downloading charm.land/glamour/v2 v2.0.0
go: downloading golang.org/x/text v0.34.0
go: downloading github.com/invopop/yaml v0.3.1
go: downloading github.com/zricethezav/gitleaks/v8 v8.28.0
go: downloading helm.sh/helm/v3 v3.18.3
go: downloading go.uber.org/multierr v1.11.0
go: downloading github.com/davecgh/go-spew v1.1.2-0.20180830191138-d8f796af33cc
go: downloading k8s.io/kube-openapi v0.0.0-20250910181357-589584f1c912
