github.com/chenmingyong0423/go-mongox/v2
github.com/davecgh/go-spew v1.1.1
github.com/google/go-cmp v0.6.0
github.com/klauspost/compress v1.17.6
github.com/pmezard/go-difflib v1.0.0
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.10.0
github.com/xdg-go/pbkdf2 v1.0.0
github.com/xdg-go/scram v1.2.0
github.com/xdg-go/stringprep v1.0.4
github.com/youmark/pkcs8 v0.0.0-20240726163527-a2c0da244d78
github.com/yuin/goldmark v1.4.13
go.mongodb.org/mongo-driver/v2 v2.5.0
go.uber.org/mock v0.4.0
golang.org/x/crypto v0.33.0
golang.org/x/mod v0.17.0
golang.org/x/net v0.21.0
golang.org/x/sync v0.11.0
golang.org/x/sys v0.30.0
golang.org/x/term v0.29.0
golang.org/x/text v0.22.0
golang.org/x/tools v0.21.1-0.20240508182429-e35e4ccd0d2d
golang.org/x/xerrors v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3 v3.0.1
