github.com/labstack/gommon	v0.3.0
github.com/mattn/go-colorable	v0.1.7
github.com/mattn/go-isatty	v0.0.12
github.com/mkideal/cli	v0.2.5
github.com/mkideal/expr	v0.1.0
github.com/mkideal/pkg	v0.1.2
golang.org/x/crypto	v0.0.0-20201221181555-eec23a3978ad
golang.org/x/sys	v0.0.0-20200930185726-fdedc70b468f
golang.org/x/term	v0.0.0-20201117132131-f5c789dd3221
