github.com/brianvoe/gofakeit/v6	v6.22.0
github.com/davecgh/go-spew	v1.1.1
github.com/lucasjones/reggen	v0.0.0-20200904144131-37ba4fa293bb
github.com/pmezard/go-difflib	v1.0.0
github.com/samber/lo	v1.38.1
github.com/stretchr/objx	v0.5.0
github.com/stretchr/testify	v1.8.4
golang.org/x/exp	v0.0.0-20220303212507-bbda1eaf7a17
golang.org/x/mod	v0.6.0-dev.0.20211013180041-c96bc1413d57
golang.org/x/sys	v0.0.0-20211019181941-9d821ace8654
golang.org/x/tools	v0.1.8-0.20211029000441-d6a9af8af023
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
