github.com/Pallinder/go-randomdata	v1.2.0
github.com/couchbase/cbauth	v0.1.22
github.com/couchbase/clog	v0.1.0
github.com/couchbase/gomemcached	v0.3.4
github.com/couchbase/goutils	v0.3.0
github.com/couchbaselabs/go_n1ql	v0.0.0-20220303011133-0ed4bf93e31d
github.com/davecgh/go-spew	v1.1.1
github.com/google/flatbuffers	v24.3.25+incompatible
github.com/google/go-cmp	v0.6.0
github.com/google/uuid	v1.6.0
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/youmark/pkcs8	v0.0.0-20240726163527-a2c0da244d78
github.com/yuin/goldmark	v1.4.13
golang.org/x/crypto	v0.46.0
golang.org/x/mod	v0.30.0
golang.org/x/net	v0.47.0
golang.org/x/sync	v0.19.0
golang.org/x/sys	v0.39.0
golang.org/x/telemetry	v0.0.0-20251111182119-bc8e575c7b54
golang.org/x/term	v0.38.0
golang.org/x/text	v0.32.0
golang.org/x/tools	v0.39.0
golang.org/x/xerrors	v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
