Cloning into '/home/user/SBOM/work/openziti__ziti'...
go: downloading go1.26.1 (linux/amd64)
go: downloading github.com/cenkalti/backoff/v4 v4.3.0
go: downloading github.com/michaelquigley/pfxlog v0.6.10
go: downloading github.com/openziti/identity v1.0.130
go: downloading github.com/openziti/channel/v4 v4.3.11
go: downloading github.com/openziti/sdk-golang v1.8.0
go: downloading github.com/openziti/transport/v2 v2.0.215
go: downloading github.com/golang-jwt/jwt/v5 v5.3.1
go: downloading github.com/openziti/xweb/v3 v3.0.4
go: downloading github.com/pkg/errors v0.9.1
go: downloading github.com/openziti/edge-api v0.31.0
go: downloading github.com/openziti/foundation/v2 v2.0.92
go: downloading github.com/orcaman/concurrent-map/v2 v2.0.1
go: downloading github.com/sirupsen/logrus v1.9.4
go: downloading github.com/zitadel/oidc/v3 v3.47.5
go: downloading github.com/teris-io/shortid v0.0.0-20220617161101-71ec9f2aa569
go: downloading github.com/AppsFlyer/go-sundheit v0.6.0
go: downloading github.com/blang/semver v3.5.1+incompatible
go: downloading github.com/go-resty/resty/v2 v2.17.2
go: downloading github.com/openziti/metrics v1.4.5
go: downloading github.com/go-openapi/runtime v0.32.2
go: downloading github.com/Jeffail/gabs v1.4.0
go: downloading go.etcd.io/bbolt v1.4.3
go: downloading github.com/gorilla/handlers v1.5.2
go: downloading github.com/xeipuuv/gojsonschema v1.2.0
go: downloading github.com/hashicorp/go-hclog v1.6.3
go: downloading github.com/rcrowley/go-metrics v0.0.0-20250401214520-65e299d6c5c9
go: downloading github.com/go-openapi/jsonpointer v0.23.1
go: downloading gopkg.in/yaml.v2 v2.4.0
go: downloading github.com/go-openapi/errors v0.22.7
go: downloading github.com/kataras/go-events v0.0.3
go: downloading github.com/go-openapi/loads v0.23.3
go: downloading github.com/Azure/azure-sdk-for-go/sdk/azcore v1.21.1
go: downloading github.com/lucsky/cuid v1.2.1
go: downloading github.com/Azure/azure-sdk-for-go/sdk/messaging/azservicebus v1.10.0
go: downloading github.com/natefinch/lumberjack v2.0.0+incompatible
go: downloading github.com/rabbitmq/amqp091-go v1.11.0
go: downloading go4.org v0.0.0-20260112195520-a5071408f32f
go: downloading github.com/hashicorp/golang-lru/v2 v2.0.7
go: downloading github.com/hashicorp/raft v1.7.3
go: downloading github.com/hashicorp/golang-lru v1.0.2
go: downloading github.com/dineshappavoo/basex v0.0.0-20170425072625-481a6f6dc663
go: downloading github.com/fullsailor/pkcs7 v0.0.0-20190404230743-d7302db945fa
go: downloading github.com/go-openapi/strfmt v0.26.2
go: downloading github.com/hashicorp/raft-boltdb/v2 v2.3.1
go: downloading github.com/dgryski/dgoogauth v0.0.0-20190221195224-5a805980a5f3
go: downloading github.com/go-openapi/swag/jsonutils v0.26.0
go: downloading github.com/mitchellh/mapstructure v1.5.0
go: downloading github.com/go-viper/mapstructure/v2 v2.5.0
go: downloading github.com/go-openapi/swag v0.26.0
go: downloading github.com/gorilla/mux v1.8.1
go: downloading github.com/jellydator/ttlcache/v3 v3.4.0
go: downloading github.com/jinzhu/copier v0.4.0
go: downloading golang.org/x/text v0.37.0
go: downloading github.com/openziti/jwks v1.0.6
go: downloading github.com/openziti/x509-claims v1.0.3
go: downloading github.com/skip2/go-qrcode v0.0.0-20200617195104-da1b6568686e
go: downloading golang.org/x/crypto v0.52.0
go: downloading github.com/go-openapi/validate v0.25.2
go: downloading github.com/jessevdk/go-flags v1.6.1
go: downloading golang.org/x/net v0.55.0
go: downloading github.com/go-openapi/spec v0.22.4
go: downloading github.com/antlr4-go/antlr/v4 v4.13.1
go: downloading github.com/biogo/store v0.0.0-20201120204734-aad293a2328f
go: downloading github.com/gorilla/websocket v1.5.3
go: downloading github.com/mgutz/ansi v0.0.0-20200706080929-d51e80ef957d
go: downloading github.com/fsnotify/fsnotify v1.10.1
go: downloading github.com/openziti/secretstream v0.1.49
go: downloading golang.org/x/sys v0.45.0
go: downloading github.com/openziti/agent v1.0.33
go: downloading github.com/emirpasic/gods v1.18.1
go: downloading github.com/muhlemmer/gu v0.3.1
go: downloading github.com/zitadel/schema v1.3.2
go: downloading golang.org/x/oauth2 v0.36.0
go: downloading github.com/felixge/httpsnoop v1.0.4
go: downloading github.com/go-openapi/swag/fileutils v0.26.0
go: downloading github.com/go-openapi/swag/stringutils v0.26.0
go: downloading golang.org/x/sync v0.20.0
go: downloading github.com/fatih/color v1.19.0
go: downloading github.com/mattn/go-isatty v0.0.22
go: downloading go.uber.org/atomic v1.11.0
