github.com/awesome-gocui/gocui	v1.1.0
github.com/gdamore/encoding	v1.0.1
github.com/gdamore/tcell/v2	v2.8.1
github.com/google/go-cmp	v0.6.0
github.com/lucasb-eyer/go-colorful	v1.2.0
github.com/mattn/go-runewidth	v0.0.16
github.com/rivo/uniseg	v0.4.7
github.com/yuin/goldmark	v1.4.13
golang.org/x/crypto	v0.23.0
golang.org/x/mod	v0.33.0
golang.org/x/net	v0.25.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.31.0
golang.org/x/telemetry	v0.0.0-20240228155512-f48c80bd79b2
golang.org/x/term	v0.30.0
golang.org/x/text	v0.35.0
golang.org/x/tools	v0.42.0
golang.org/x/xerrors	v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
