github.com/davecgh/go-spew	v1.1.1
github.com/golang/glog	v0.0.0-20160126235308-23def4e6c14b
github.com/golang/protobuf	v1.4.2
github.com/google/go-cmp	v0.5.0
github.com/jhump/protoreflect	v1.7.0
github.com/pmezard/go-difflib	v1.0.0
github.com/sirupsen/logrus	v1.2.0
github.com/spf13/cobra	v1.0.0
github.com/spf13/pflag	v1.0.5
github.com/stretchr/testify	v1.2.2
golang.org/x/crypto	v0.0.0-20191011191535-87dc89f01550
golang.org/x/net	v0.0.0-20200226121028-0de0cce0169b
golang.org/x/sys	v0.0.0-20190412213103-97732733099d
golang.org/x/text	v0.3.0
golang.org/x/xerrors	v0.0.0-20191204190536-9bdfabe68543
google.golang.org/genproto	v0.0.0-20201009135657-4d944d34d83c
google.golang.org/grpc	v1.27.0
google.golang.org/protobuf	v1.25.0
