Cloning into '/home/user/SBOM/work/ory__keto'...
go: downloading github.com/spf13/cobra v1.10.2
go: downloading github.com/spf13/pflag v1.0.10
go: downloading golang.org/x/oauth2 v0.35.0
go: downloading google.golang.org/grpc v1.80.0
go: downloading github.com/ory/jsonschema/v3 v3.0.9-0.20250317235931-280c5fc7bf0e
go: downloading github.com/pkg/errors v0.9.1
go: downloading github.com/segmentio/objconv v1.0.1
go: downloading github.com/ory/herodot v0.10.9-0.20260330111132-da75ef0fbc22
go: downloading github.com/gofrs/uuid v4.4.0+incompatible
go: downloading github.com/tidwall/gjson v1.18.0
go: downloading go.opentelemetry.io/otel v1.43.0
go: downloading github.com/dgraph-io/ristretto/v2 v2.2.0
go: downloading github.com/cenkalti/backoff/v3 v3.2.2
go: downloading github.com/ghodss/yaml v1.0.0
go: downloading github.com/grpc-ecosystem/go-grpc-middleware/v2 v2.3.1
go: downloading github.com/grpc-ecosystem/go-grpc-prometheus v1.2.0
go: downloading github.com/ory/analytics-go/v5 v5.0.1
go: downloading github.com/ory/pop/v6 v6.4.2-0.20260507161217-89126558d369
go: downloading github.com/ory/graceful v0.1.3
go: downloading github.com/pelletier/go-toml v1.9.5
go: downloading github.com/rs/cors v1.11.1
go: downloading github.com/jmoiron/sqlx v1.4.0
go: downloading go.opentelemetry.io/otel/trace v1.43.0
go: downloading github.com/go-sql-driver/mysql v1.9.3
go: downloading github.com/sirupsen/logrus v1.9.3
go: downloading github.com/tidwall/sjson v1.2.5
go: downloading github.com/soheilhy/cmux v0.1.5
go: downloading github.com/urfave/negroni v1.0.0
go: downloading go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc v0.62.0
go: downloading go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp v0.68.0
go: downloading github.com/Masterminds/sprig/v3 v3.3.0
go: downloading github.com/Masterminds/sprig v2.15.0+incompatible
go: downloading github.com/go-openapi/jsonpointer v0.21.2
go: downloading github.com/goccy/go-yaml v1.18.0
go: downloading github.com/hashicorp/go-retryablehttp v0.7.8
go: downloading github.com/inhies/go-bytesize v0.0.0-20220417184213-4913239db9cf
go: downloading github.com/knadh/koanf/maps v0.1.2
go: downloading github.com/knadh/koanf/parsers/json v0.1.0
go: downloading github.com/knadh/koanf/parsers/toml v0.1.0
go: downloading github.com/knadh/koanf/parsers/yaml v0.1.0
go: downloading github.com/knadh/koanf/providers/posflag v0.1.0
go: downloading github.com/knadh/koanf/v2 v2.2.2
go: downloading github.com/spf13/cast v1.9.2
go: downloading golang.org/x/net v0.55.0
go: downloading google.golang.org/protobuf v1.36.11
go: downloading github.com/cockroachdb/cockroach-go/v2 v2.4.3
go: downloading github.com/prometheus/client_golang v1.23.0
go: downloading modernc.org/sqlite v1.48.0
go: downloading github.com/seatgeek/logrus-gelf-formatter v0.0.0-20210414080842-5b05eb8ff761
go: downloading go.opentelemetry.io/contrib/instrumentation/net/http/httptrace/otelhttptrace v0.62.0
go: downloading github.com/pkg/profile v1.7.0
go: downloading google.golang.org/genproto/googleapis/rpc v0.0.0-20260401024825-9d38bb4040a9
go: downloading go.opentelemetry.io/contrib/propagators/b3 v1.37.0
go: downloading go.opentelemetry.io/contrib/propagators/jaeger v1.37.0
go: downloading go.opentelemetry.io/contrib/samplers/jaegerremote v0.31.0
go: downloading go.opentelemetry.io/otel/exporters/jaeger v1.17.0
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlptrace v1.43.0
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp v1.43.0
go: downloading go.opentelemetry.io/otel/exporters/zipkin v1.37.0
go: downloading go.opentelemetry.io/otel/sdk v1.43.0
go: downloading github.com/avast/retry-go/v4 v4.6.1
go: downloading github.com/gobwas/glob v0.2.3
go: downloading github.com/peterhellberg/link v1.2.0
go: downloading gopkg.in/yaml.v2 v2.4.0
go: downloading github.com/davecgh/go-spew v1.1.2-0.20180830191138-d8f796af33cc
go: downloading github.com/pmezard/go-difflib v1.0.1-0.20181226105442-5d4384ee4fb2
go: downloading github.com/tidwall/match v1.1.1
go: downloading github.com/tidwall/pretty v1.2.1
go: downloading github.com/nyaruka/phonenumbers v1.6.5
go: downloading github.com/fsnotify/fsnotify v1.9.0
go: downloading github.com/segmentio/backo-go v1.1.0
go: downloading github.com/xtgo/uuid v0.0.0-20140804021211-a0b114877d4c
go: downloading github.com/XSAM/otelsql v0.41.0
go: downloading github.com/fatih/color v1.19.0
go: downloading github.com/gobuffalo/envy v1.10.2
go: downloading github.com/gobuffalo/fizz v1.14.4
go: downloading github.com/gobuffalo/flect v1.0.3
go: downloading github.com/gobuffalo/validate/v3 v3.3.3
go: downloading github.com/jackc/pgx/v5 v5.9.2
go: downloading github.com/moby/moby/client v0.4.1
go: downloading github.com/ory/dockertest/v4 v4.0.0-beta.4
go: downloading filippo.io/edwards25519 v1.2.0
go: downloading go.opentelemetry.io/otel/metric v1.43.0
go: downloading github.com/felixge/httpsnoop v1.0.4
