repo,tool,july,scorer_main,scorer_main_empty,verdict
Haraj-backend__hex-monscape,cyclonedx-gomod,16/0/37/16/0/0/16/0/4,16/0/37/16/0/0/16/0/4,,match
HazelnutParadise__insyra,syft,196/0/321/128/68/0/134/62/0,196/0/321/128/68/0/134/62/0,,match
HazelnutParadise__insyra,trivy,148/0/369/128/20/0/134/14/0,148/0/369/128/20/0/134/14/0,,match
HazelnutParadise__insyra,cdxgen,128/0/389/128/0/0/128/0/6,128/0/389/128/0/0/128/0/6,,match
HazelnutParadise__insyra,cyclonedx-gomod,134/0/383/121/13/7/121/13/13,134/0/383/121/13/7/121/13/13,,match
Henry-Sarabia__igdb,syft,5/0/0/4/1/0/4/1/0,5/0/0/4/1/0/4/1/0,,match
Henry-Sarabia__igdb,trivy,5/0/0/4/1/0/4/1/0,5/0/0/4/1/0/4/1/0,,match
Henry-Sarabia__igdb,cdxgen,4/0/1/4/0/0/4/0/0,4/0/1/4/0/0/4/0/0,,match
Henry-Sarabia__igdb,cyclonedx-gomod,4/0/1/4/0/0/4/0/0,4/0/1/4/0/0/4/0/0,,match
Henry-Sarabia__sliceconv,syft,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
Henry-Sarabia__sliceconv,trivy,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
Henry-Sarabia__sliceconv,cdxgen,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
Henry-Sarabia__sliceconv,cyclonedx-gomod,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
Hossiy21__razify,syft,8/0/4/6/2/0/6/2/0,8/0/4/6/2/0/6/2/0,,match
Hossiy21__razify,trivy,8/0/4/6/2/0/6/2/0,8/0/4/6/2/0/6/2/0,,match
Hossiy21__razify,cdxgen,6/0/6/6/0/0/6/0/0,6/0/6/6/0/0/6/0/0,,match
Hossiy21__razify,cyclonedx-gomod,7/0/5/6/1/0/6/1/0,7/0/5/6/1/0/6/1/0,,match
HugoSmits86__nativewebp,syft,1/0/1/1/0/0/1/0/0,1/0/1/1/0/0/1/0/0,,match
HugoSmits86__nativewebp,trivy,1/0/1/1/0/0/1/0/0,1/0/1/1/0/0/1/0/0,,match
HugoSmits86__nativewebp,cdxgen,1/0/1/1/0/0/1/0/0,1/0/1/1/0/0/1/0/0,,match
HugoSmits86__nativewebp,cyclonedx-gomod,1/0/1/1/0/0/1/0/0,1/0/1/1/0/0/1/0/0,,match
Humpheh__goboy,syft,17/0/11/8/9/0/12/5/0,17/0/11/8/9/0/12/5/0,,match
Humpheh__goboy,trivy,16/0/12/8/8/0/12/4/0,16/0/12/8/8/0/12/4/0,,match
Humpheh__goboy,cdxgen,8/0/20/8/0/0/8/0/4,8/0/20/8/0/0/8/0/4,,match
Humpheh__goboy,cyclonedx-gomod,12/0/16/8/4/0/8/4/4,12/0/16/8/4/0/8/4/4,,match
ITcathyh__conexec,syft,2/0/0/1/1/0/2/0/0,2/0/0/1/1/0/2/0/0,,match
ITcathyh__conexec,trivy,2/0/0/1/1/0/2/0/0,2/0/0/1/1/0/2/0/0,,match
ITcathyh__conexec,cdxgen,1/0/1/1/0/0/1/0/1,1/0/1/1/0/0/1/0/1,,match
ITcathyh__conexec,cyclonedx-gomod,1/0/1/1/0/0/1/0/1,1/0/1/1/0/0/1/0/1,,match
Jacobbrewer1__patcher,syft,38/0/59/6/32/0/6/32/0,38/0/59/6/32/0/6/32/0,,match
Jacobbrewer1__patcher,trivy,35/0/62/6/29/0/6/29/0,35/0/62/6/29/0/6/29/0,,match
Jacobbrewer1__patcher,cdxgen,35/0/62/6/29/0/6/29/0,35/0/62/6/29/0/6/29/0,,match
Jacobbrewer1__patcher,cyclonedx-gomod,35/0/62/6/29/0/6/29/0,35/0/62/6/29/0/6/29/0,,match
Jagerente__gocfg,syft,6/0/1/1/5/0/5/1/0,6/0/1/1/5/0/5/1/0,,match
Jagerente__gocfg,trivy,7/0/0/1/6/0/5/2/0,7/0/0/1/6/0/5/2/0,,match
Jagerente__gocfg,cdxgen,1/0/6/1/0/0/1/0/4,1/0/6/1/0/0/1/0/4,,match
Jagerente__gocfg,cyclonedx-gomod,1/0/6/1/0/0/1/0/4,1/0/6/1/0/0/1/0/4,,match
JohannesKaufmann__html-to-markdown,syft,20/0/9/15/5/0/15/5/0,20/0/9/15/5/0/15/5/0,,match
JohannesKaufmann__html-to-markdown,trivy,15/0/14/15/0/0/15/0/0,15/0/14/15/0/0/15/0/0,,match
JohannesKaufmann__html-to-markdown,cdxgen,15/0/14/15/0/0/15/0/0,15/0/14/15/0/0/15/0/0,,match
JohannesKaufmann__html-to-markdown,cyclonedx-gomod,15/0/14/15/0/0/15/0/0,15/0/14/15/0/0/15/0/0,,match
JoshuaDoes__gofuckyourself,syft,1/0/3/1/0/0/1/0/0,1/0/3/1/0/0/1/0/0,,match
JoshuaDoes__gofuckyourself,trivy,1/0/3/1/0/0/1/0/0,1/0/3/1/0/0/1/0/0,,match
JoshuaDoes__gofuckyourself,cdxgen,1/0/3/1/0/0/1/0/0,1/0/3/1/0/0/1/0/0,,match
JoshuaDoes__gofuckyourself,cyclonedx-gomod,1/0/3/1/0/0/1/0/0,1/0/3/1/0/0/1/0/0,,match
Kachit__appstore-sdk-go,syft,8/0/1/2/6/0/7/1/0,8/0/1/2/6/0/7/1/0,,match
Kachit__appstore-sdk-go,trivy,9/0/0/2/7/0/7/2/0,9/0/0/2/7/0/7/2/0,,match
Kachit__appstore-sdk-go,cdxgen,2/0/7/2/0/0/2/0/5,2/0/7/2/0/0/2/0/5,,match
Kachit__appstore-sdk-go,cyclonedx-gomod,2/0/7/2/0/0/2/0/5,2/0/7/2/0/0/2/0/5,,match
Kachit__gorm-seeder,syft,29/0/38/3/26/0/19/10/0,29/0/38/3/26/0/19/10/0,,match
Kachit__gorm-seeder,trivy,67/0/0/3/64/0/19/48/0,67/0/0/3/64/0/19/48/0,,match
Kachit__gorm-seeder,cdxgen,3/0/64/3/0/0/3/0/16,3/0/64/3/0/0/3/0/16,,match
Kachit__gorm-seeder,cyclonedx-gomod,3/0/64/3/0/0/3/0/16,3/0/64/3/0/0/3/0/16,,match
Knuspii__CrunchyCleaner,syft,11/0/4/3/8/0/3/8/0,11/0/4/3/8/0/3/8/0,,match
Knuspii__CrunchyCleaner,trivy,7/0/8/3/4/0/3/4/0,7/0/8/3/4/0/3/4/0,,match
Knuspii__CrunchyCleaner,cdxgen,3/0/12/3/0/0/3/0/0,3/0/12/3/0/0/3/0/0,,match
Knuspii__CrunchyCleaner,cyclonedx-gomod,7/0/8/3/4/0/3/4/0,7/0/8/3/4/0/3/4/0,,match
Konstantin8105__c4go,syft,8/0/0/4/4/0/8/0/0,8/0/0/4/4/0/8/0/0,,match
Konstantin8105__c4go,trivy,8/0/0/4/4/0/8/0/0,8/0/0/4/4/0/8/0/0,,match
Konstantin8105__c4go,cdxgen,8/0/0/4/4/0/8/0/0,8/0/0/4/4/0/8/0/0,,match
Konstantin8105__c4go,cyclonedx-gomod,4/0/4/4/0/0/4/0/4,4/0/4/4/0/0/4/0/4,,match
KusionStack__kusion,syft,396/0/409/325/71/0/334/62/0,396/0/409/325/71/0/334/62/0,,match
KusionStack__kusion,trivy,350/0/455/325/25/0/334/16/0,350/0/455/325/25/0/334/16/0,,match
KusionStack__kusion,cdxgen,325/0/480/325/0/0/325/0/9,325/0/480/325/0/0/325/0/9,,match
KusionStack__kusion,cyclonedx-gomod,332/0/473/322/10/3/322/10/12,332/0/473/322/10/3/322/10/12,,match
Lifailon__lazyjournal,syft,12/0/9/10/2/0/10/2/0,11/0/9/10/1/0/10/1/0,12/0/9/10/2/0/10/2/0,july_main_bug
Lifailon__lazyjournal,trivy,11/0/10/10/1/0/10/1/0,10/0/10/10/0/0/10/0/0,11/0/10/10/1/0/10/1/0,july_main_bug
Lifailon__lazyjournal,cdxgen,10/0/11/10/0/0/10/0/0,10/0/10/10/0/0/10/0/0,10/0/11/10/0/0/10/0/0,july_main_bug
Lifailon__lazyjournal,cyclonedx-gomod,10/0/11/10/0/0/10/0/0,10/0/10/10/0/0/10/0/0,10/0/11/10/0/0/10/0/0,july_main_bug
LimeChain__gosemble,syft,80/1/204/26/55/0/26/55/0,80/1/204/26/55/0/26/55/0,,match
LimeChain__gosemble,trivy,77/1/207/26/52/0/26/52/0,77/1/207/26/52/0/26/52/0,,match
LimeChain__gosemble,cdxgen,81/4/203/26/59/0/26/59/0,81/4/203/26/59/0/26/59/0,,match
LimeChain__gosemble,cyclonedx-gomod,NA,NA,,NA
MUlt1mate__protoc-gen-httpgo,syft,9/75/1/2/82/0/3/81/0,9/75/1/2/82/0/3/81/0,,match
MUlt1mate__protoc-gen-httpgo,trivy,9/57/1/2/64/0/3/63/0,9/57/1/2/64/0/3/63/0,,match
MUlt1mate__protoc-gen-httpgo,cdxgen,8/44/2/2/50/0/3/49/0,8/44/2/2/50/0/3/49/0,,match
MUlt1mate__protoc-gen-httpgo,cyclonedx-gomod,2/0/8/2/0/0/2/0/1,2/0/8/2/0/0/2/0/1,,match
MarvinJWendt__testza,syft,19/0/9/16/3/0/16/3/0,19/0/9/16/3/0/16/3/0,,match
MarvinJWendt__testza,trivy,16/0/12/16/0/0/16/0/0,16/0/12/16/0/0/16/0/0,,match
MarvinJWendt__testza,cdxgen,16/0/12/16/0/0/16/0/0,16/0/12/16/0/0/16/0/0,,match
MarvinJWendt__testza,cyclonedx-gomod,16/0/12/16/0/0/16/0/0,16/0/12/16/0/0/16/0/0,,match
Masterminds__squirrel,syft,5/7/0/2/10/0/5/7/0,5/7/0/2/10/0/5/7/0,,match
Masterminds__squirrel,trivy,5/14/0/2/17/0/5/14/0,5/14/0/2/17/0/5/14/0,,match
Masterminds__squirrel,cdxgen,2/0/3/2/0/0/2/0/3,2/0/3/2/0/0/2/0/3,,match
Masterminds__squirrel,cyclonedx-gomod,2/0/3/2/0/0/2/0/3,2/0/3/2/0/0/2/0/3,,match
MatProGo-dev__MatProInterface.go,syft,2/0/16/2/0/0/2/0/0,2/0/16/2/0/0/2/0/0,,match
MatProGo-dev__MatProInterface.go,trivy,2/0/16/2/0/0/2/0/0,2/0/16/2/0/0/2/0/0,,match
MatProGo-dev__MatProInterface.go,cdxgen,2/0/16/2/0/0/2/0/0,2/0/16/2/0/0/2/0/0,,match
MatProGo-dev__MatProInterface.go,cyclonedx-gomod,2/0/16/2/0/0/2/0/0,2/0/16/2/0/0/2/0/0,,match
MaxHalford__eaopt,syft,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
MaxHalford__eaopt,trivy,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
MaxHalford__eaopt,cdxgen,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
MaxHalford__eaopt,cyclonedx-gomod,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
Melkeydev__go-blueprint,syft,22/0/11/20/2/0/20/2/0,22/0/11/20/2/0/20/2/0,,match
Melkeydev__go-blueprint,trivy,22/0/11/20/2/0/20/2/0,22/0/11/20/2/0/20/2/0,,match
Melkeydev__go-blueprint,cdxgen,20/0/13/20/0/0/20/0/0,20/0/13/20/0/0/20/0/0,,match
Melkeydev__go-blueprint,cyclonedx-gomod,22/0/11/20/2/0/20/2/0,22/0/11/20/2/0/20/2/0,,match
MonaxGT__gomalshare,syft,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
MonaxGT__gomalshare,trivy,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
MonaxGT__gomalshare,cdxgen,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
MonaxGT__gomalshare,cyclonedx-gomod,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,match
MonaxGT__parsefields,syft,9/0/8/7/2/0/7/2/0,9/0/8/7/2/0/7/2/0,,match
MonaxGT__parsefields,trivy,9/0/8/7/2/0/7/2/0,9/0/8/7/2/0/7/2/0,,match
MonaxGT__parsefields,cdxgen,7/0/10/7/0/0/7/0/0,7/0/10/7/0/0/7/0/0,,match
MonaxGT__parsefields,cyclonedx-gomod,7/0/10/7/0/0/7/0/0,7/0/10/7/0/0/7/0/0,,match
MordaTeam__go-config,syft,101/0/130/20/81/0/61/40/0,101/0/130/20/81/0/61/40/0,,match
MordaTeam__go-config,trivy,69/0/162/20/49/0/61/8/0,69/0/162/20/49/0/61/8/0,,match
MordaTeam__go-config,cdxgen,20/0/211/20/0/0/20/0/41,20/0/211/20/0/0/20/0/41,,match
MordaTeam__go-config,cyclonedx-gomod,21/0/210/20/1/0/20/1/41,21/0/210/20/1/0/20/1/41,,match
Mutasem-mk4__gspy,syft,32/0/23/17/15/0/17/15/0,32/0/23/17/15/0/17/15/0,,match
Mutasem-mk4__gspy,trivy,21/0/34/17/4/0/17/4/0,21/0/34/17/4/0/17/4/0,,match
Mutasem-mk4__gspy,cdxgen,17/0/38/17/0/0/17/0/0,17/0/38/17/0/0/17/0/0,,match
Mutasem-mk4__gspy,cyclonedx-gomod,20/0/35/17/3/0/17/3/0,20/0/35/17/3/0/17/3/0,,match
Mutasem-mk4__procscope,syft,69/0/32/50/19/0/50/19/0,69/0/32/50/19/0/50/19/0,,match
Mutasem-mk4__procscope,trivy,51/0/50/50/1/0/50/1/0,51/0/50/50/1/0/50/1/0,,match
Mutasem-mk4__procscope,cdxgen,51/0/50/50/1/0/50/1/0,51/0/50/50/1/0/50/1/0,,match
Mutasem-mk4__procscope,cyclonedx-gomod,51/0/50/50/1/0/50/1/0,51/0/50/50/1/0/50/1/0,,match
NdoleStudio__go-otelroundtripper,syft,21/0/2/7/14/0/16/5/0,21/0/2/7/14/0/16/5/0,,match
NdoleStudio__go-otelroundtripper,trivy,16/0/7/7/9/0/16/0/0,16/0/7/7/9/0/16/0/0,,match
NdoleStudio__go-otelroundtripper,cdxgen,7/0/16/7/0/0/7/0/9,7/0/16/7/0/0/7/0/9,,match
NdoleStudio__go-otelroundtripper,cyclonedx-gomod,7/0/16/7/0/0/7/0/9,7/0/16/7/0/0/7/0/9,,match
Netflix__chaosmonkey,syft,33/0/4/24/9/0/24/9/0,33/0/4/24/9/0/24/9/0,,match
Netflix__chaosmonkey,trivy,29/0/8/24/5/0/24/5/0,29/0/8/24/5/0/24/5/0,,match
Netflix__chaosmonkey,cdxgen,24/0/13/24/0/0/24/0/0,24/0/13/24/0/0/24/0/0,,match
Netflix__chaosmonkey,cyclonedx-gomod,24/0/13/24/0/0/24/0/0,24/0/13/24/0/0/24/0/0,,match
NicoNex__echotron,syft,17/0/0/1/16/0/1/16/0,17/0/0/1/16/0/1/16/0,,match
NicoNex__echotron,trivy,13/0/4/1/12/0/1/12/0,13/0/4/1/12/0/1/12/0,,match
NicoNex__echotron,cdxgen,3/0/14/1/2/0/1/2/0,3/0/14/1/2/0/1/2/0,,match
NicoNex__echotron,cyclonedx-gomod,13/0/4/1/12/0/1/12/0,13/0/4/1/12/0/1/12/0,,match
NodePassProject__nodepass,syft,16/0/9/10/6/0/10/6/0,16/0/9/10/6/0/10/6/0,,match
NodePassProject__nodepass,trivy,10/0/15/10/0/0/10/0/0,10/0/15/10/0/0/10/0/0,,match
NodePassProject__nodepass,cdxgen,10/0/15/10/0/0/10/0/0,10/0/15/10/0/0/10/0/0,,match
NodePassProject__nodepass,cyclonedx-gomod,10/0/15/10/0/0/10/0/0,10/0/15/10/0/0/10/0/0,,match
Noooste__azuretls-client,syft,41/0/91/21/20/0/24/17/0,41/0/91/21/20/0/24/17/0,,match
Noooste__azuretls-client,trivy,26/0/106/21/5/0/24/2/0,26/0/106/21/5/0/24/2/0,,match
Noooste__azuretls-client,cdxgen,21/0/111/21/0/0/21/0/3,21/0/111/21/0/0/21/0/3,,match
Noooste__azuretls-client,cyclonedx-gomod,21/0/111/21/0/0/21/0/3,21/0/111/21/0/0/21/0/3,,match
OTA-Insight__bqwriter,syft,54/0/148/35/19/0/35/19/0,54/0/148/35/19/0/35/19/0,,match
OTA-Insight__bqwriter,trivy,43/0/159/35/8/0/35/8/0,43/0/159/35/8/0/35/8/0,,match
OTA-Insight__bqwriter,cdxgen,35/0/167/35/0/0/35/0/0,35/0/167/35/0/0/35/0/0,,match
OTA-Insight__bqwriter,cyclonedx-gomod,42/0/160/35/7/0/35/7/0,42/0/160/35/7/0/35/7/0,,match
OldPanda__bloomfilter,syft,6/0/14/2/4/0/2/4/0,6/0/14/2/4/0/2/4/0,,match
OldPanda__bloomfilter,trivy,20/0/0/2/18/0/2/18/0,20/0/0/2/18/0/2/18/0,,match
OldPanda__bloomfilter,cdxgen,2/0/18/2/0/0/2/0/0,2/0/18/2/0/0/2/0/0,,match
OldPanda__bloomfilter,cyclonedx-gomod,2/0/18/2/0/0/2/0/0,2/0/18/2/0/0/2/0/0,,match
Oudwins__zog,syft,8/0/4/5/3/0/6/2/0,8/0/4/5/3/0/6/2/0,,match
Oudwins__zog,trivy,6/0/6/5/1/0/6/0/0,6/0/6/5/1/0/6/0/0,,match
Oudwins__zog,cdxgen,5/0/7/5/0/0/5/0/1,5/0/7/5/0/0/5/0/1,,match
Oudwins__zog,cyclonedx-gomod,5/0/7/5/0/0/5/0/1,5/0/7/5/0/0/5/0/1,,match
PIMPfiction__govader_backend,syft,18/0/13/12/6/0/16/2/0,18/0/13/12/6/0/16/2/0,,match
PIMPfiction__govader_backend,trivy,16/0/15/12/4/0/16/0/0,16/0/15/12/4/0/16/0/0,,match
PIMPfiction__govader_backend,cdxgen,12/0/19/12/0/0/12/0/4,12/0/19/12/0/0/12/0/4,,match
PIMPfiction__govader_backend,cyclonedx-gomod,12/0/19/12/0/0/12/0/4,12/0/19/12/0/0/12/0/4,,match
PaddleHQ__go-aws-ssm,syft,7/0/4/3/4/0/3/4/0,7/0/4/3/4/0/3/4/0,,match
PaddleHQ__go-aws-ssm,trivy,4/0/7/3/1/0/3/1/0,4/0/7/3/1/0/3/1/0,,match
PaddleHQ__go-aws-ssm,cdxgen,3/0/8/3/0/0/3/0/0,3/0/8/3/0/0/3/0/0,,match
PaddleHQ__go-aws-ssm,cyclonedx-gomod,3/0/8/3/0/0/3/0/0,3/0/8/3/0/0/3/0/0,,match
PaesslerAG__gval,syft,2/0/0/1/1/0/2/0/0,2/0/0/1/1/0/2/0/0,,match
PaesslerAG__gval,trivy,2/0/0/1/1/0/2/0/0,2/0/0/1/1/0/2/0/0,,match
PaesslerAG__gval,cdxgen,1/0/1/1/0/0/1/0/1,1/0/1/1/0/0/1/0/1,,match
PaesslerAG__gval,cyclonedx-gomod,1/0/1/1/0/0/1/0/1,1/0/1/1/0/0/1/0/1,,match
PerimeterX__envite,syft,56/0/18/34/22/0/37/19/0,56/0/18/34/22/0/37/19/0,,match
PerimeterX__envite,trivy,39/0/35/34/5/0/37/2/0,39/0/35/34/5/0/37/2/0,,match
PerimeterX__envite,cdxgen,34/0/40/34/0/0/34/0/3,34/0/40/34/0/0/34/0/3,,match
PerimeterX__envite,cyclonedx-gomod,36/0/38/34/2/0/34/2/3,36/0/38/34/2/0/34/2/3,,match
PerimeterX__marshmallow,syft,4/0/1/2/2/0/4/0/0,4/0/1/2/2/0/4/0/0,,match
PerimeterX__marshmallow,trivy,4/0/1/2/2/0/4/0/0,4/0/1/2/2/0/4/0/0,,match
PerimeterX__marshmallow,cdxgen,2/0/3/2/0/0/2/0/2,2/0/3/2/0/0/2/0/2,,match
PerimeterX__marshmallow,cyclonedx-gomod,2/0/3/2/0/0/2/0/2,2/0/3/2/0/0/2/0/2,,match
Pixboost__transformimgs,syft,3/2/0/3/2/0/3/2/0,3/2/0/3/2/0/3/2/0,,match
Pixboost__transformimgs,trivy,3/2/0/3/2/0/3/2/0,3/2/0/3/2/0/3/2/0,,match
Pixboost__transformimgs,cdxgen,3/1/0/3/1/0/3/1/0,3/1/0/3/1/0/3/1/0,,match
Pixboost__transformimgs,cyclonedx-gomod,3/0/0/3/0/0/3/0/0,3/0/0/3/0/0/3/0/0,,match
PuerkitoBio__goquery,syft,2/0/4/2/0/0/2/0/0,2/0/4/2/0/0/2/0/0,,match
PuerkitoBio__goquery,trivy,2/0/4/2/0/0/2/0/0,2/0/4/2/0/0/2/0/0,,match
PuerkitoBio__goquery,cdxgen,2/0/4/2/0/0/2/0/0,2/0/4/2/0/0/2/0/0,,match
PuerkitoBio__goquery,cyclonedx-gomod,2/0/4/2/0/0/2/0/0,2/0/4/2/0/0/2/0/0,,match
Qntfy__kazaam,syft,2/0/0/2/0/0/2/0/0,2/0/0/2/0/0/2/0/0,,match
Qntfy__kazaam,trivy,2/0/0/2/0/0/2/0/0,2/0/0/2/0/0/2/0/0,,match
Qntfy__kazaam,cdxgen,2/0/0/2/0/0/2/0/0,2/0/0/2/0/0/2/0/0,,match
Qntfy__kazaam,cyclonedx-gomod,2/0/0/2/0/0/2/0/0,2/0/0/2/0/0/2/0/0,,match
Raezil__GoEventBus,syft,7/0/5/6/1/0/6/1/0,7/0/5/6/1/0/6/1/0,,match
Raezil__GoEventBus,trivy,6/1/6/6/1/0/6/1/0,6/1/6/6/1/0/6/1/0,,match
Raezil__GoEventBus,cdxgen,6/0/6/6/0/0/6/0/0,6/0/6/6/0/0/6/0/0,,match
Raezil__GoEventBus,cyclonedx-gomod,6/0/6/6/0/0/6/0/0,6/0/6/6/0/0/6/0/0,,match
RibbonFilter__ribbonGo,syft,4/0/0/2/2/0/2/2/0,4/0/0/2/2/0/2/2/0,,match
RibbonFilter__ribbonGo,trivy,3/0/1/2/1/0/2/1/0,3/0/1/2/1/0/2/1/0,,match
RibbonFilter__ribbonGo,cdxgen,2/0/2/2/0/0/2/0/0,2/0/2/2/0/0/2/0/0,,match
RibbonFilter__ribbonGo,cyclonedx-gomod,3/0/1/2/1/0/2/1/0,3/0/1/2/1/0/2/1/0,,match
