repo,tool,july,scorer_main,scorer_main_empty,verdict
2ykwang__mac-cleanup-go,syft,29/0/6/25/4/0/25/4/0,29/0/6/25/4/0/25/4/0,,match
2ykwang__mac-cleanup-go,trivy,25/0/10/25/0/0/25/0/0,25/0/10/25/0/0/25/0/0,,match
2ykwang__mac-cleanup-go,cdxgen,25/0/10/25/0/0/25/0/0,25/0/10/25/0/0/25/0/0,,match
2ykwang__mac-cleanup-go,cyclonedx-gomod,25/0/10/25/0/0/25/0/0,25/0/10/25/0/0/25/0/0,,match
32leaves__bel,syft,8/0/1/1/7/0/3/5/0,8/0/1/1/7/0/3/5/0,,match
32leaves__bel,trivy,9/0/0/1/8/0/3/6/0,9/0/0/1/8/0/3/6/0,,match
32leaves__bel,cdxgen,1/0/8/1/0/0/1/0/2,1/0/8/1/0/0/1/0/2,,match
32leaves__bel,cyclonedx-gomod,1/0/8/1/0/0/1/0/2,1/0/8/1/0/0/1/0/2,,match
42Atomys__webhooked,syft,48/0/133/26/22/0/29/19/0,48/0/133/26/22/0/29/19/0,,match
42Atomys__webhooked,trivy,31/0/150/26/5/0/29/2/0,31/0/150/26/5/0/29/2/0,,match
42Atomys__webhooked,cdxgen,26/0/155/26/0/0/26/0/3,26/0/155/26/0/0/26/0/3,,match
42Atomys__webhooked,cyclonedx-gomod,27/0/154/26/1/0/26/1/3,27/0/154/26/1/0/26/1/3,,match
99designs__gqlgen,syft,31/44/7/18/57/0/23/52/0,31/44/7/18/57/0/23/52/0,,match
99designs__gqlgen,trivy,25/31/13/18/38/0/23/33/0,25/31/13/18/38/0/23/33/0,,match
99designs__gqlgen,cdxgen,18/20/20/18/20/0/18/20/5,18/20/20/18/20/0/18/20/5,,match
99designs__gqlgen,cyclonedx-gomod,19/0/19/18/1/0/18/1/5,19/0/19/18/1/0/18/1/5,,match
Ad3bay0c__routex,syft,54/0/35/33/21/0/39/15/0,54/0/35/33/21/0/39/15/0,,match
Ad3bay0c__routex,trivy,39/0/50/33/6/0/39/0/0,39/0/50/33/6/0/39/0/0,,match
Ad3bay0c__routex,cdxgen,33/0/56/33/0/0/33/0/6,33/0/56/33/0/0/33/0/6,,match
Ad3bay0c__routex,cyclonedx-gomod,33/0/56/33/0/0/33/0/6,33/0/56/33/0/0/33/0/6,,match
AfterShip__email-verifier,syft,14/0/8/4/10/0/10/4/0,14/0/8/4/10/0/10/4/0,,match
AfterShip__email-verifier,trivy,12/0/10/4/8/0/10/2/0,12/0/10/4/8/0/10/2/0,,match
AfterShip__email-verifier,cdxgen,4/0/18/4/0/0/4/0/6,4/0/18/4/0/0/4/0/6,,match
AfterShip__email-verifier,cyclonedx-gomod,4/0/18/4/0/0/4/0/6,4/0/18/4/0/0/4/0/6,,match
Alejandro-M-P__git-courer,syft,63/0/11/45/18/0/49/14/0,63/0/11/45/18/0/49/14/0,,match
Alejandro-M-P__git-courer,trivy,52/0/22/45/7/0/49/3/0,52/0/22/45/7/0/49/3/0,,match
Alejandro-M-P__git-courer,cdxgen,45/0/29/45/0/0/45/0/4,45/0/29/45/0/0/45/0/4,,match
Alejandro-M-P__git-courer,cyclonedx-gomod,47/0/27/45/2/0/45/2/4,47/0/27/45/2/0/45/2/4,,match
AllenDang__cimgui-go,syft,14/15/16/8/21/0/8/21/0,14/15/16/8/21/0/8/21/0,,match
AllenDang__cimgui-go,trivy,13/6/17/8/11/0/8/11/0,13/6/17/8/11/0/8/11/0,,match
AllenDang__cimgui-go,cdxgen,10/5/20/8/7/0/8/7/0,10/5/20/8/7/0/8/7/0,,match
AllenDang__cimgui-go,cyclonedx-gomod,11/0/19/8/3/0/8/3/0,11/0/19/8/3/0/8/3/0,,match
