module,syft,trivy,cdxgen,cyclonedx-gomod,total
github.com/sourcegraph/conc,6,6,2,5,19
go.uber.org/zap,5,12,0,1,18
github.com/cpuguy83/dockercfg,10,8,0,0,18
github.com/moby/patternmatcher,10,8,0,0,18
github.com/testcontainers/testcontainers-go,10,8,0,0,18
cloud.google.com/go,2,15,1,0,18
github.com/envoyproxy/protoc-gen-validate,7,9,1,1,18
github.com/grpc-ecosystem/grpc-gateway/v2,10,5,3,0,18
github.com/subosito/gotenv,5,7,3,3,18
github.com/prometheus/client_model,4,12,2,0,18
github.com/shoenig/go-m1cpu,7,7,1,3,18
github.com/mattn/go-runewidth,7,7,3,0,17
github.com/kisielk/gotool,0,17,0,0,17
github.com/dustin/go-humanize,6,8,3,0,17
github.com/shurcool/sanitized_anchor_name,3,12,1,1,17
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp,8,7,1,1,17
github.com/data-dog/go-sqlmock,9,6,1,0,16
github.com/remyoudompheng/bigfft,5,8,3,0,16
github.com/gopherjs/gopherjs,4,12,0,0,16
github.com/moby/sys/user,9,7,0,0,16
github.com/client9/misspell,1,14,1,0,16
github.com/go-logfmt/logfmt,1,14,1,0,16
github.com/google/gofuzz,5,11,0,0,16
github.com/mitchellh/mapstructure,6,7,2,1,16
github.com/planetscale/vtprotobuf,6,6,1,3,16
github.com/jessevdk/go-flags,4,8,3,1,16
golang.org/x/arch,6,7,1,2,16
github.com/huandu/xstrings,5,5,2,3,15
github.com/tidwall/pretty,9,5,0,1,15
github.com/ugorji/go/codec,6,6,3,0,15
github.com/pelletier/go-toml,3,10,1,1,15
github.com/jackc/pgx/v5,6,6,3,0,15
github.com/shirou/gopsutil/v4,7,7,1,0,15
github.com/pascaldekloe/goe,9,6,0,0,15
github.com/beorn7/perks,4,9,2,0,15
github.com/prometheus/client_golang,4,9,2,0,15
github.com/prometheus/procfs,4,9,2,0,15
github.com/adalogics/go-fuzz-headers,11,2,0,1,14
github.com/go-openapi/jsonpointer,6,4,2,2,14
github.com/go-openapi/swag/jsonname,6,4,2,2,14
github.com/mitchellh/copystructure,4,5,2,3,14
github.com/mitchellh/reflectwalk,4,5,2,3,14
filippo.io/edwards25519,6,5,3,0,14
github.com/erikgeiser/coninput,5,5,0,4,14
github.com/mattn/go-localereader,5,5,0,4,14
golang.org/x/image,4,9,0,1,14
modernc.org/mathutil,5,6,3,0,14
github.com/containerd/platforms,7,7,0,0,14
github.com/golang/snappy,5,7,2,0,14
github.com/gorilla/mux,5,7,2,0,14
go.etcd.io/bbolt,4,9,1,0,14
cloud.google.com/go/pubsub,3,8,3,0,14
github.com/hashicorp/go-msgpack,7,7,0,0,14
github.com/prometheus/common,4,8,2,0,14
github.com/xdg-go/pbkdf2,6,6,0,2,14
github.com/tidwall/gjson,8,4,0,1,13
github.com/tidwall/match,8,4,0,1,13
github.com/alecthomas/repr,11,2,0,0,13
github.com/jackc/puddle/v2,6,5,2,0,13
golang.org/x/mobile,2,9,0,2,13
gopkg.in/errgo.v2,0,13,0,0,13
github.com/containerd/errdefs,8,5,0,0,13
github.com/alecthomas/template,1,11,1,0,13
github.com/alecthomas/units,1,11,1,0,13
github.com/julienschmidt/httprouter,1,11,1,0,13
github.com/bytedance/sonic,5,5,1,2,13
github.com/twitchyliquid64/golang-asm,5,5,1,2,13
github.com/googleapis/gax-go/v2,2,10,1,0,13
google.golang.org/api,2,10,1,0,13
pgregory.net/rapid,11,1,0,0,12
github.com/lucasb-eyer/go-colorful,4,4,4,0,12
modernc.org/strutil,9,3,0,0,12
github.com/containerd/errdefs/pkg,7,5,0,0,12
github.com/moby/sys/userns,6,6,0,0,12
github.com/eapache/go-resiliency,3,7,2,0,12
github.com/go-stack/stack,0,12,0,0,12
github.com/kisielk/errcheck,1,11,0,0,12
github.com/cenkalti/backoff/v5,6,4,2,0,12
go.opentelemetry.io/proto/otlp,8,3,1,0,12
github.com/quic-go/quic-go,4,4,3,1,12
github.com/jstemmer/go-junit-report,1,10,0,1,12
github.com/golang-sql/civil,5,5,2,0,12
gorm.io/driver/postgres,6,6,0,0,12
