github.com/davecgh/go-spew	v1.1.1
github.com/fergusstrange/embedded-postgres	v1.19.0
github.com/kr/text	v0.1.0
github.com/lib/pq	v1.10.9
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.19
github.com/niemeyer/pretty	v0.0.0-20200227124842-a10e7caefd8e
github.com/pmezard/go-difflib	v1.0.0
github.com/rs/zerolog	v1.31.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.7.0
github.com/xi2/xz	v0.0.0-20171230120015-48954b6210f8
go.uber.org/goleak	v1.1.12
golang.org/x/sys	v0.13.0
gopkg.in/check.v1	v1.0.0-20200227125254-8fa46927fb4f
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
