Cloning into '/home/user/SBOM/work/spiffe__spire'...
go: downloading go1.26.3 (linux/amd64)
go: downloading github.com/mitchellh/cli v1.1.5
go: downloading google.golang.org/grpc v1.81.1
go: downloading github.com/spiffe/spire-api-sdk v1.2.5-0.20260428072036-00f73a61093a
go: downloading github.com/imdario/mergo v0.3.16
go: downloading google.golang.org/protobuf v1.36.12-0.20260120151049-f2248ac996af
go: downloading github.com/andres-erbsen/clock v0.0.0-20160526145045-9e14626cd129
go: downloading github.com/spiffe/spire-plugin-sdk v1.4.4-0.20251120194148-791bbd274dc7
go: downloading github.com/envoyproxy/go-control-plane/envoy v1.37.0
go: downloading github.com/google/go-containerregistry v0.21.6
go: downloading github.com/imkira/go-observer v1.0.3
go: downloading github.com/sigstore/cosign/v3 v3.0.6
go: downloading github.com/sigstore/rekor v1.5.2
go: downloading github.com/aws/aws-sdk-go-v2/config v1.32.14
go: downloading github.com/aws/aws-sdk-go-v2 v1.41.10
go: downloading github.com/sigstore/sigstore v1.10.8
go: downloading github.com/aws/aws-sdk-go-v2/feature/ec2/imds v1.18.21
go: downloading github.com/google/go-tpm-tools v0.4.9
go: downloading github.com/google/go-tpm v0.9.8
go: downloading github.com/aws/aws-sdk-go-v2/credentials v1.19.14
go: downloading github.com/aws/aws-sdk-go-v2/service/secretsmanager v1.42.0
go: downloading cloud.google.com/go/iam v1.11.0
go: downloading cloud.google.com/go/secretmanager v1.20.0
go: downloading cloud.google.com/go v0.123.0
go: downloading github.com/googleapis/gax-go/v2 v2.22.0
go: downloading google.golang.org/api v0.283.0
go: downloading github.com/docker/docker v28.5.2+incompatible
go: downloading github.com/valyala/fastjson v1.6.10
go: downloading k8s.io/api v0.36.1
go: downloading k8s.io/apimachinery v0.36.1
go: downloading github.com/godbus/dbus/v5 v5.2.2
go: downloading github.com/shirou/gopsutil/v4 v4.26.5
go: downloading github.com/Masterminds/sprig/v3 v3.3.0
go: downloading github.com/armon/go-radix v1.0.0
go: downloading github.com/bgentry/speakeasy v0.2.0
go: downloading github.com/posener/complete v1.2.3
