github.com/andygrunwald/go-trending
github.com/PuerkitoBio/goquery v1.11.0
github.com/andybalholm/cascadia v1.3.3
github.com/google/go-cmp v0.6.0
github.com/yuin/goldmark v1.4.13
golang.org/x/crypto v0.48.0
golang.org/x/mod v0.17.0
golang.org/x/net v0.50.0
golang.org/x/sync v0.10.0
golang.org/x/sys v0.41.0
golang.org/x/telemetry v0.0.0-20240228155512-f48c80bd79b2
golang.org/x/term v0.40.0
golang.org/x/text v0.34.0
golang.org/x/tools v0.21.1-0.20240508182429-e35e4ccd0d2d
golang.org/x/xerrors v0.0.0-20190717185122-a985d3407aa7
