repo,gt,tool,predicted,tp,fp,fn,precision,recall,f1,tp_ver,fp_ver,fn_ver,precision_ver,recall_ver,f1_ver
Ad3bay0c__routex,88,syft,54,54,0,34,1.0000,0.6136,0.7606,54,0,34,1.0000,0.6136,0.7606
Ad3bay0c__routex,88,trivy,36,36,0,52,1.0000,0.4091,0.5806,36,0,52,1.0000,0.4091,0.5806
Ad3bay0c__routex,88,cdxgen,33,33,0,55,1.0000,0.3750,0.5455,33,0,55,1.0000,0.3750,0.5455
Ad3bay0c__routex,88,cyclonedx-gomod,33,33,0,55,1.0000,0.3750,0.5455,33,0,55,1.0000,0.3750,0.5455
ChainSafe__gossamer,565,syft,244,232,12,333,0.9508,0.4106,0.5735,218,26,347,0.8934,0.3858,0.5389
ChainSafe__gossamer,565,trivy,221,209,12,356,0.9457,0.3699,0.5318,199,22,366,0.9005,0.3522,0.5064
ChainSafe__gossamer,565,cdxgen,205,198,7,367,0.9659,0.3504,0.5143,191,14,374,0.9317,0.3381,0.4961
ChainSafe__gossamer,565,cyclonedx-gomod,192,189,3,376,0.9844,0.3345,0.4993,189,3,376,0.9844,0.3345,0.4993
Colin4k1024__Aetheris,267,syft,168,153,15,114,0.9107,0.5730,0.7034,146,22,121,0.8690,0.5468,0.6713
Colin4k1024__Aetheris,267,trivy,145,132,13,135,0.9103,0.4944,0.6408,128,17,139,0.8828,0.4794,0.6214
Colin4k1024__Aetheris,267,cdxgen,136,125,11,142,0.9191,0.4682,0.6203,124,12,143,0.9118,0.4644,0.6154
Colin4k1024__Aetheris,267,cyclonedx-gomod,126,126,0,141,1.0000,0.4719,0.6412,126,0,141,1.0000,0.4719,0.6412
Evertras__bubble-table,35,syft,27,27,0,8,1.0000,0.7714,0.8710,27,0,8,1.0000,0.7714,0.8710
Evertras__bubble-table,35,trivy,23,23,0,12,1.0000,0.6571,0.7931,23,0,12,1.0000,0.6571,0.7931
Evertras__bubble-table,35,cdxgen,19,19,0,16,1.0000,0.5429,0.7037,19,0,16,1.0000,0.5429,0.7037
Evertras__bubble-table,35,cyclonedx-gomod,19,19,0,16,1.0000,0.5429,0.7037,19,0,16,1.0000,0.5429,0.7037
GiGurra__boa,7,syft,3,3,0,4,1.0000,0.4286,0.6000,3,0,4,1.0000,0.4286,0.6000
GiGurra__boa,7,trivy,3,3,0,4,1.0000,0.4286,0.6000,3,0,4,1.0000,0.4286,0.6000
GiGurra__boa,7,cdxgen,2,2,0,5,1.0000,0.2857,0.4444,2,0,5,1.0000,0.2857,0.4444
GiGurra__boa,7,cyclonedx-gomod,3,3,0,4,1.0000,0.4286,0.6000,3,0,4,1.0000,0.4286,0.6000
GuilhermeCaruso__anko,14,syft,6,5,1,9,0.8333,0.3571,0.5000,5,1,9,0.8333,0.3571,0.5000
GuilhermeCaruso__anko,14,trivy,16,14,2,0,0.8750,1.0000,0.9333,14,2,0,0.8750,1.0000,0.9333
GuilhermeCaruso__anko,14,cdxgen,3,3,0,11,1.0000,0.2143,0.3529,3,0,11,1.0000,0.2143,0.3529
GuilhermeCaruso__anko,14,cyclonedx-gomod,3,3,0,11,1.0000,0.2143,0.3529,3,0,11,1.0000,0.2143,0.3529
Jagerente__gocfg,7,syft,6,6,0,1,1.0000,0.8571,0.9231,6,0,1,1.0000,0.8571,0.9231
