repo,all,imported,direct,tool,found,P_all,R_all,F1_all,P_imp,R_imp,F1_imp,P_dir,R_dir,F1_dir
Ad3bay0c__routex,88,33,10,syft,54,100.0,61.4,76.1,61.1,100.0,75.9,18.5,100.0,31.3
Ad3bay0c__routex,88,33,10,trivy,36,100.0,40.9,58.1,91.7,100.0,95.7,27.8,100.0,43.5
Ad3bay0c__routex,88,33,10,cdxgen,33,100.0,37.5,54.5,100.0,100.0,100.0,27.3,90.0,41.9
Ad3bay0c__routex,88,33,10,cyclonedx-gomod,33,100.0,37.5,54.5,100.0,100.0,100.0,27.3,90.0,41.9
BoRuDar__configuration,0,,,syft,0,0.0,0.0,0.0,,,,,,
BoRuDar__configuration,0,,,trivy,0,0.0,0.0,0.0,,,,,,
BoRuDar__configuration,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
BoRuDar__configuration,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
ChainSafe__gossamer,565,193,51,syft,244,95.1,41.1,57.4,77.9,98.4,87.0,19.7,94.1,32.5
ChainSafe__gossamer,565,193,51,trivy,221,94.6,37.0,53.2,86.0,98.4,91.8,21.7,94.1,35.3
ChainSafe__gossamer,565,193,51,cdxgen,205,96.6,35.0,51.4,94.1,100.0,97.0,23.9,96.1,38.3
ChainSafe__gossamer,565,193,51,cyclonedx-gomod,192,98.4,33.5,49.9,94.3,93.8,94.0,22.4,84.3,35.4
Colin4k1024__Aetheris,267,124,39,syft,168,91.1,57.3,70.3,73.8,100.0,84.9,23.2,100.0,37.7
Colin4k1024__Aetheris,267,124,39,trivy,145,91.0,49.4,64.1,85.5,100.0,92.2,26.9,100.0,42.4
Colin4k1024__Aetheris,267,124,39,cdxgen,136,91.9,46.8,62.0,91.2,100.0,95.4,28.7,100.0,44.6
Colin4k1024__Aetheris,267,124,39,cyclonedx-gomod,126,100.0,47.2,64.1,96.0,97.6,96.8,30.2,97.4,46.1
Comcast__gaad,0,,,syft,0,0.0,0.0,0.0,,,,,,
Comcast__gaad,0,,,trivy,0,0.0,0.0,0.0,,,,,,
Comcast__gaad,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
Comcast__gaad,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
DavidGamba__go-getoptions,0,,,syft,0,0.0,0.0,0.0,,,,,,
DavidGamba__go-getoptions,0,,,trivy,1,0.0,0.0,0.0,,,,,,
DavidGamba__go-getoptions,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
DavidGamba__go-getoptions,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
