repo,all,imported,tool,predicted,tp_all,fp_all,fn_all,f1_all_name,f1_all_ver,tp_imp,fp_imp,fn_imp,f1_imp_name,f1_imp_ver
0xERR0R__blocky,333,124,syft,228,228,0,105,81.3,81.3,124,104,0,70.5,70.5
0xERR0R__blocky,333,124,trivy,193,193,0,140,73.4,73.4,124,69,0,78.2,78.2
0xERR0R__blocky,333,124,cdxgen,124,124,0,209,54.3,54.3,124,0,0,100.0,100.0
0xERR0R__blocky,333,124,cyclonedx-gomod,187,187,0,146,71.9,71.9,124,63,0,79.7,79.7
0xcafed00d__joystick,3,3,syft,3,3,0,0,100.0,100.0,3,0,0,100.0,100.0
0xcafed00d__joystick,3,3,trivy,3,3,0,0,100.0,100.0,3,0,0,100.0,100.0
0xcafed00d__joystick,3,3,cdxgen,3,3,0,0,100.0,100.0,3,0,0,100.0,100.0
0xcafed00d__joystick,3,3,cyclonedx-gomod,3,3,0,0,100.0,100.0,3,0,0,100.0,100.0
1set__cronrange,1,1,syft,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
1set__cronrange,1,1,trivy,2,1,1,0,66.7,66.7,1,1,0,66.7,66.7
1set__cronrange,1,1,cdxgen,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
1set__cronrange,1,1,cyclonedx-gomod,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
1set__starlet,24,11,syft,36,23,13,1,76.7,73.3,11,25,0,46.8,42.6
1set__starlet,24,11,trivy,25,12,13,12,49.0,44.9,11,14,0,61.1,55.6
1set__starlet,24,11,cdxgen,22,12,10,12,52.2,52.2,11,11,0,66.7,66.7
1set__starlet,24,11,cyclonedx-gomod,11,11,0,13,62.9,62.9,11,0,0,100.0,100.0
1set__todotxt,1,1,syft,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
1set__todotxt,1,1,trivy,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
1set__todotxt,1,1,cdxgen,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
1set__todotxt,1,1,cyclonedx-gomod,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
2ykwang__mac-cleanup-go,35,25,syft,29,29,0,6,90.6,90.6,25,4,0,92.6,92.6
2ykwang__mac-cleanup-go,35,25,trivy,25,25,0,10,83.3,83.3,25,0,0,100.0,100.0
2ykwang__mac-cleanup-go,35,25,cdxgen,25,25,0,10,83.3,83.3,25,0,0,100.0,100.0
2ykwang__mac-cleanup-go,35,25,cyclonedx-gomod,25,25,0,10,83.3,83.3,25,0,0,100.0,100.0
32leaves__bel,3,1,syft,8,3,5,0,54.5,54.5,1,7,0,22.2,22.2
32leaves__bel,3,1,trivy,9,3,6,0,50.0,50.0,1,8,0,20.0,20.0
32leaves__bel,3,1,cdxgen,1,1,0,2,50.0,50.0,1,0,0,100.0,100.0
32leaves__bel,3,1,cyclonedx-gomod,1,1,0,2,50.0,50.0,1,0,0,100.0,100.0
42Atomys__webhooked,181,26,syft,48,48,0,133,41.9,41.9,26,22,0,70.3,70.3
42Atomys__webhooked,181,26,trivy,31,31,0,150,29.2,29.2,26,5,0,91.2,91.2
42Atomys__webhooked,181,26,cdxgen,26,26,0,155,25.1,25.1,26,0,0,100.0,100.0
42Atomys__webhooked,181,26,cyclonedx-gomod,27,27,0,154,26.0,26.0,26,1,0,98.1,98.1
99designs__gqlgen,37,19,syft,72,31,41,6,56.9,45.9,19,53,0,41.8,33.0
99designs__gqlgen,37,19,trivy,52,26,26,11,58.4,53.9,19,33,0,53.5,50.7
99designs__gqlgen,37,19,cdxgen,39,19,20,18,50.0,50.0,19,20,0,65.5,65.5
99designs__gqlgen,37,19,cyclonedx-gomod,20,20,0,17,70.2,70.2,19,1,0,97.4,97.4
Ad3bay0c__routex,88,33,syft,54,54,0,34,76.1,76.1,33,21,0,75.9,75.9
Ad3bay0c__routex,88,33,trivy,36,36,0,52,58.1,58.1,33,3,0,95.7,95.7
Ad3bay0c__routex,88,33,cdxgen,33,33,0,55,54.5,54.5,33,0,0,100.0,100.0
Ad3bay0c__routex,88,33,cyclonedx-gomod,33,33,0,55,54.5,54.5,33,0,0,100.0,100.0
AfterShip__email-verifier,22,4,syft,14,14,0,8,77.8,77.8,4,10,0,44.4,44.4
AfterShip__email-verifier,22,4,trivy,12,12,0,10,70.6,70.6,4,8,0,50.0,50.0
AfterShip__email-verifier,22,4,cdxgen,4,4,0,18,30.8,30.8,4,0,0,100.0,100.0
AfterShip__email-verifier,22,4,cyclonedx-gomod,4,4,0,18,30.8,30.8,4,0,0,100.0,100.0
Alejandro-M-P__git-courer,56,30,syft,44,44,0,12,88.0,88.0,30,14,0,81.1,81.1
Alejandro-M-P__git-courer,56,30,trivy,39,39,0,17,82.1,82.1,30,9,0,87.0,87.0
Alejandro-M-P__git-courer,56,30,cdxgen,30,30,0,26,69.8,69.8,30,0,0,100.0,100.0
Alejandro-M-P__git-courer,56,30,cyclonedx-gomod,33,33,0,23,74.2,74.2,30,3,0,95.2,95.2
AllenDang__cimgui-go,30,8,syft,29,14,15,16,47.5,37.3,8,21,0,43.2,43.2
AllenDang__cimgui-go,30,8,trivy,19,13,6,17,53.1,44.9,8,11,0,59.3,59.3
AllenDang__cimgui-go,30,8,cdxgen,15,10,5,20,44.4,35.6,8,7,0,69.6,69.6
AllenDang__cimgui-go,30,8,cyclonedx-gomod,11,11,0,19,53.7,53.7,8,3,0,84.2,84.2
Allenxuxu__gev,63,19,syft,31,31,0,32,66.0,66.0,19,12,0,76.0,76.0
Allenxuxu__gev,63,19,trivy,63,63,0,0,100.0,100.0,19,44,0,46.3,46.3
Allenxuxu__gev,63,19,cdxgen,19,19,0,44,46.3,46.3,19,0,0,100.0,100.0
Allenxuxu__gev,63,19,cyclonedx-gomod,19,19,0,44,46.3,46.3,19,0,0,100.0,100.0
Allra-Fintech__mdv,15,6,syft,9,9,0,6,75.0,75.0,6,3,0,80.0,80.0
Allra-Fintech__mdv,15,6,trivy,6,6,0,9,57.1,57.1,6,0,0,100.0,100.0
Allra-Fintech__mdv,15,6,cdxgen,6,6,0,9,57.1,57.1,6,0,0,100.0,100.0
Allra-Fintech__mdv,15,6,cyclonedx-gomod,6,6,0,9,57.1,57.1,6,0,0,100.0,100.0
Andrew-M-C__go.jsonvalue,10,1,syft,4,4,0,6,57.1,42.9,1,3,0,40.0,40.0
Andrew-M-C__go.jsonvalue,10,1,trivy,10,10,0,0,100.0,90.0,1,9,0,18.2,18.2
Andrew-M-C__go.jsonvalue,10,1,cdxgen,1,1,0,9,18.2,18.2,1,0,0,100.0,100.0
Andrew-M-C__go.jsonvalue,10,1,cyclonedx-gomod,1,1,0,9,18.2,18.2,1,0,0,100.0,100.0
Antonboom__testifylint,8,3,syft,22,6,16,2,40.0,20.0,3,19,0,24.0,16.0
Antonboom__testifylint,8,3,trivy,16,4,12,4,33.3,16.7,3,13,0,31.6,21.1
Antonboom__testifylint,8,3,cdxgen,15,4,11,4,34.8,26.1,3,12,0,33.3,33.3
Antonboom__testifylint,8,3,cyclonedx-gomod,2,2,0,6,40.0,40.0,2,0,1,80.0,80.0
Antonito__gfile,51,31,syft,40,40,0,11,87.9,87.9,31,9,0,87.3,87.3
Antonito__gfile,51,31,trivy,36,36,0,15,82.8,82.8,31,5,0,92.5,92.5
Antonito__gfile,51,31,cdxgen,31,31,0,20,75.6,75.6,31,0,0,100.0,100.0
Antonito__gfile,51,31,cyclonedx-gomod,32,32,0,19,77.1,77.1,31,1,0,98.4,98.4
AppsFlyer__go-sundheit,11,1,syft,15,10,5,1,76.9,61.5,1,14,0,12.5,12.5
AppsFlyer__go-sundheit,11,1,trivy,35,11,24,0,47.8,39.1,1,34,0,5.6,5.6
AppsFlyer__go-sundheit,11,1,cdxgen,2,1,1,10,15.4,15.4,1,1,0,66.7,66.7
AppsFlyer__go-sundheit,11,1,cyclonedx-gomod,1,1,0,10,16.7,16.7,1,0,0,100.0,100.0
Balaji01-4D__pgxcli,164,63,syft,130,130,0,34,88.4,87.8,63,67,0,65.3,65.3
Balaji01-4D__pgxcli,164,63,trivy,112,112,0,52,81.2,81.2,63,49,0,72.0,72.0
Balaji01-4D__pgxcli,164,63,cdxgen,63,63,0,101,55.5,55.5,63,0,0,100.0,100.0
Balaji01-4D__pgxcli,164,63,cyclonedx-gomod,64,64,0,100,56.1,56.1,63,1,0,99.2,99.2
Bilibili__discovery,211,23,syft,39,39,0,172,31.2,29.6,23,16,0,74.2,71.0
Bilibili__discovery,211,23,trivy,211,211,0,0,100.0,95.7,23,188,0,19.7,18.8
Bilibili__discovery,211,23,cdxgen,23,23,0,188,19.7,18.8,23,0,0,100.0,95.7
Bilibili__discovery,211,23,cyclonedx-gomod,26,26,0,185,21.9,21.9,23,3,0,93.9,93.9
Boeing__config-file-validator,84,39,syft,54,54,0,30,78.3,76.8,39,15,0,83.9,81.7
Boeing__config-file-validator,84,39,trivy,45,45,0,39,69.8,68.2,39,6,0,92.9,90.5
Boeing__config-file-validator,84,39,cdxgen,39,39,0,45,63.4,63.4,39,0,0,100.0,100.0
Boeing__config-file-validator,84,39,cyclonedx-gomod,41,41,0,43,65.6,64.0,39,2,0,97.5,95.0
Breeze0806__go-etl,103,54,syft,75,75,0,28,84.3,84.3,54,21,0,83.7,83.7
Breeze0806__go-etl,103,54,trivy,55,55,0,48,69.6,69.6,54,1,0,99.1,99.1
Breeze0806__go-etl,103,54,cdxgen,54,54,0,49,68.8,68.8,54,0,0,100.0,100.0
